?mondo_term	?label	?definition	?obsoletion_candidate	?obsolete
<http://purl.obolibrary.org/obo/MONDO_0700008>	"chromosome 1 disorder"	"Chromosomal disorder in which chromosome 1 is affected."	""	
<http://purl.obolibrary.org/obo/MONDO_0015431>	"ring chromosome 10"	"Ring chromosome 10 syndrome is characterized by intellectual deficit, growth retardation, and various dysmorphic features. Less than 20 cases have been described. The main features are low birth weight, microcephaly, stubby nose with a prominent nasal bridge, hypertelorism, strabismus, wide-set nipples, single transverse palmar creases, and clinodactyly. Boys have undescended testes and hypoplastic scrotum. Congenital heart disease, hydronephrosis or renal hypoplasia was present in some of the cases."	""	
<http://purl.obolibrary.org/obo/MONDO_0700017>	"chromosome 10 disorder"	"Chromosomal disorder in which chromosome 10 is affected."	""	
<http://purl.obolibrary.org/obo/MONDO_0015432>	"ring chromosome 12"	"Ring chromosome 12 syndrome is a rare chromosomal anomaly syndrome with a highly variable phenotype principally characterized by postnatal growth retardation, variable degrees of developmental delay and intellectual disability, microcephaly and facial dysmorphism (incl. epicanthal folds, low-set, cupped ears, prominent nose with flat nasal bridge, high arched palate, micrognathia). Skeletal abnormalities (e.g. pectus excavatum, clinodactyly), congenital heart malformations, cryptorchidism, café-au-lait spots and epilepsy have also been reported."	""	
<http://purl.obolibrary.org/obo/MONDO_0700019>	"chromosome 12 disorder"	"Chromosomal disorder in which chromosome 12 is affected."	""	
<http://purl.obolibrary.org/obo/MONDO_0015433>	"ring chromosome 17"	"Ring chromosome 17 syndrome is a rare chromosomal anomaly syndrome, resulting from partial deletion of chromosome 17, characterized by highly variable manifestations, ranging from a severe phenotype which presents with lissencephaly and severe intellectual disability to a milder phenotype that includes short stature, microcephaly, intellectual disability, seizures (that may be pharmacoresistant), café-au-lait spots, retinal flecks and minor facial dysmorphism, depending on the presence or absence of the Miller-Dieker critical region."	""	
<http://purl.obolibrary.org/obo/MONDO_0020583>	"chromosome 17 disorder"	"Chromosomal disorder in which chromosome 17 is affected."	""	
<http://purl.obolibrary.org/obo/MONDO_0015434>	"ring chromosome 18"	"Ring chromosome 18 syndrome is an autosomal anomaly characterized by variable clinical features, most commonly including hypotonia, neonatal feeding and respiratory difficulties, microcephaly, global developmental delay and intellectual disability, growth hormone deficiency, hypothyroidism, hearing loss, aural atresia, dysmorphic facial features and behavioral characteristics."	""	
<http://purl.obolibrary.org/obo/MONDO_0015435>	"ring chromosome 19"	"Ring chromosome 19 syndrome is a rare chromosomal anomaly syndrome with a highly variable phenotype that may range from normal to patients with profound intellectual disability, developmental delay, learning disability (esp. speech) and mild dysmorphism (incl. micro/macrocephaly, prominent forehead, low-set and posteriorly rotated ears, hypertelorism, high nasal bridge, prominent philtrum, retro/micrognathia). Mild hypotonia and autistic-like mannerisms (e.g. hand opening and closing, head banging) may also be associated. Other anomalies, such as cutis laxa, hearing loss, syndactyly, digital hypoplasia, and talipes equinovarus, have also been reported."	""	
<http://purl.obolibrary.org/obo/MONDO_0700024>	"chromosome 19 disorder"	"Chromosomal disorder in which chromosome 19 is affected."	""	
<http://purl.obolibrary.org/obo/MONDO_0015436>	"ring chromosome 20"	"Ring chromosome 20 syndrome is marked by a characteristic seizure phenotype. Depending on the amount of chromosomal loss and associated mosaicism, ring(20) can be associated with macrocephaly, mild to moderate intellectual deficit, or behavioral problems. In rare cases, brain, kidney or heart malformations may be present."	""	
<http://purl.obolibrary.org/obo/MONDO_0700025>	"chromosome 20 disorder"	"Chromosomal disorder in which chromosome 20 is affected."	""	
<http://purl.obolibrary.org/obo/MONDO_0015437>	"ring chromosome 21"	"Ring chromosome 21 syndrome is an autosomal anomaly characterized by variable clinical features, most commonly including growth retardation, developmental delay, intellectual disability, epilepsy, microcephaly, short stature, dysmorphic features, hypogammaglobulinemia, thrombocytopenia and unspecific skeletal anomalies (hemivertebrae, clinodactyly, syndactyly). In rare cases, it has been described in phenotypically normal individuals."	""	
<http://purl.obolibrary.org/obo/MONDO_0015438>	"ring chromosome 22"	"Ring chromosome 22 is a rare condition caused by having an abnormal chromosome 22 that forms a ring. In this chromosome abnormality,a segment on the short (p) arm and a segment on the long (q) arm of 22 are missing. The amount of material lost varies from person to person. The remaining ends of chromosome 22 have joined together to make a ring shape. Chromosome 22 is an acrocentric chromosome, meaning that the centromere is near one end, creating a very small short (p) arm that does not contain genes that are relevant to development. Thus, only the lost genes on the long (q) arm matter. Knowing the breakpoint in the long arm is likely more helpful. Most cases are sporadic (happen by chance) and occur in people with no history of the condition in their family."	""	
<http://purl.obolibrary.org/obo/MONDO_0700026>	"chromosome 22 disorder"	"Chromosomal disorder in which chromosome 22 is affected."	""	
<http://purl.obolibrary.org/obo/MONDO_0015439>	"ring chromosome 4"	"Ring chromosome 4 syndrome is an autosomal anomaly characterized by variable clinical features, most commonly including significant intrauterine and postnatal growth retardation, developmental delay, intellectual disability, microcephaly, and dysmorphic facial features. Some less frequent features are cleft lip and/or cleft palate, congenital cardiovascular, gastrointestinal and genitourinary system anomalies."	""	
<http://purl.obolibrary.org/obo/MONDO_0700011>	"chromosome 4 disorder"	"Chromosomal disorder in which chromosome 4 is affected."	""	
<http://purl.obolibrary.org/obo/MONDO_0015440>	"ring chromosome 6"	"Ring chromosome 6 syndrome is a rare chromosomal anomaly syndrome with highly variable phenotype principally characterized by prenatal/postnatal growth failure, intellectual disability, developmental delay, craniofacial dysmorphism (incl. microcephaly, microphthalmia, epicanthus, low-set and malformed ears, broad and flat nasal bridge, full lips, micrognathia), central nervous system anomalies (e.g. hydrocephalus, cortical atrophy, ventriculomegaly), short neck, and delayed bone age. Cardiac defects, limb anomalies, hip joint malformations, and seizures have also been reported."	""	
<http://purl.obolibrary.org/obo/MONDO_0700013>	"chromosome 6 disorder"	"Chromosomal disorder in which chromosome 6 is affected."	""	
<http://purl.obolibrary.org/obo/MONDO_0015441>	"ring chromosome 7"	"Ring chromosome 7 syndrome is a rare chromosomal anomaly syndrome, with highly variable phenotype, principally characterized by growth failure, short stature, intellectual disability, dermatological abnormalities (nevus flammeus, dark pigmented nevi, café-au-lait spots), microcephaly and facial dysmorphism (incl. facial asymmetry, small ears, abnormal palpebral fissures, ptosis, epicanthic folds, hyper/hypotelorism). Additional reported features include convulsions, cleft lip and palate, clinodactyly, kyphoscoliosis and genital anomalies (i.e. cryptorchidism, hypospadias, micropenis)."	""	
<http://purl.obolibrary.org/obo/MONDO_0700014>	"chromosome 7 disorder"	"Chromosomal disorder in which chromosome 7 is affected."	""	
<http://purl.obolibrary.org/obo/MONDO_0015442>	"obsolete hereditary breast and ovarian cancer syndrome"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015443>	"chromosome 8-derived supernumerary ring/marker"	"Chromosome 8-derived supernumerary ring/marker is a rare chromosomal anomaly comprising variable parts of chromosome 8. The phenotype of mosaic or non-mosaic supernumerary r(8)/mar(8) ranges from almost normal to variable degrees of minor abnormalities, and growth and mental retardation overlapping with the well-known mosaic trisomy 8 syndrome."	""	
<http://purl.obolibrary.org/obo/MONDO_0700015>	"chromosome 8 disorder"	"Chromosomal disorder in which chromosome 8 is affected."	""	
<http://purl.obolibrary.org/obo/MONDO_0015444>	"obsolete cleidocranial dysplasia"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015445>	"autosomal dominant coarctation of aorta"	"Autosomal dominant form of aorta coarctation."	""	
<http://purl.obolibrary.org/obo/MONDO_0015446>	"atypical coarctation of aorta"	"Middle aortic coarctation is a rare vascular anomaly characterized by the segmental narrowing of the abdominal and/or distal descending thoracic aorta with varying involvement of the visceral and renal arteries that commonly presents in children and young adults with early onset and refractory hypertension, abdominal angina, lower-limb claudication and that can lead to life-threatening complications associated with severe hypertension (i.e. myocardial infarction, heart failure, aortic rupture, renal insufficiency and intracranial hemorrhage). It may be due to various congenital or acquired causes, but it is most often secondary to an acquired inflammatory disease (i.e. Takayasu arteritis or giant cell arteritis)."	""	
<http://purl.obolibrary.org/obo/MONDO_0015449>	"criss-cross heart"	"Criss cross heart (CCH) is a cardiac malformation where the inflow streams of the two ventricles cross due to twisting of the heart about its major axis. The clinical features depend on the particular cardiac defects associated, like simple or corrected transposition of the great arteries and ventricular septal defects."	""	
<http://purl.obolibrary.org/obo/MONDO_0015450>	"triatrial heart"	"A rare congenital abnormality of the heart characterized by the presence of three atria. The right or left atrium is divided into two parts by fibromuscular tissue or a membrane. It may be associated with other heart congenital abnormalities."	""	
<http://purl.obolibrary.org/obo/MONDO_0015451>	"univentricular heart"	"Univentricular heart (UVH) is a severe congenital cardiac malformation characterized by both atria related entirely or almost entirely to one functionally single ventricular chamber. The clinical manifestations include congestive heart failure, failure to thrive, cyanosis, hypoxemia and neurodevelopmental disabilities."	""	
<http://purl.obolibrary.org/obo/MONDO_0015453>	"Cogan syndrome"	"Cogan syndrome (CS) is a rare autoimmune disorder of unknown origin characterized by inflammatory ocular disease (mainly interstitial keratitis) and vestibulo-auditory manifestations (mainly acute onset hearing loss, tinnitus and vertigo), in the setting of a negative work-up for syphilis, with a variable risk of developing into a systemic disease. Systemic manifestations may occur in more than 70% of cases."	""	
<http://purl.obolibrary.org/obo/MONDO_0020698>	"inborn error of biotin metabolism"		""	
<http://purl.obolibrary.org/obo/MONDO_0015456>	"obsolete whooping cough"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015457>	"corpus callosum agenesis-double urinary collecting system syndrome"		""	
<http://purl.obolibrary.org/obo/MONDO_0015458>	"intellectual disability-hypoplastic corpus callosum-preauricular tag syndrome"	"Intellectual disability-hypoplastic corpus callosum-preauricular tag syndrome is characterized by a hypoplastic corpus callosum, microcephaly, severe intellectual deficit, preauricular skin tags, camptodactyly, growth retardation, and recurrent bronchopneumonia. It has been described in four patients in two families. Transmission is autosomal recessive."	""	
<http://purl.obolibrary.org/obo/MONDO_0017344>	"Epstein-Barr virus-associated carcinoma"		""	
<http://purl.obolibrary.org/obo/MONDO_0021315>	"malignant tumor of nasopharynx"	"A cancer that involves the nasopharynx."	""	
<http://purl.obolibrary.org/obo/MONDO_0015460>	"obsolete adrenocortical carcinoma"	"OBSOLETE. A rare, usually large (greater than 5cm), malignant epithelial tumor arising from the adrenal cortical cells. Symptoms are usually related to the excessive production of hormones, and include Cushing's syndrome and virilism in women. Common sites of metastasis include liver, lung, bone, and retroperitoneal lymph nodes. Advanced radiologic procedures have enabled the detection of small tumors, resulting in the improvement of the 5-year survival."	""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015462>	"thin ribs-tubular bones-dysmorphism syndrome"		""	
<http://purl.obolibrary.org/obo/MONDO_0015463>	"craniodigital syndrome-intellectual disability syndrome"	"Craniodigital syndrome - intellectual deficit is characterized by syndactyly of the fingers and toes, characteristic facies (`startled' facial expression with a small pointed nose, micrognathia, long dark eyelashes and prominent eyebrows) and intellectual deficit."	""	
<http://purl.obolibrary.org/obo/MONDO_0015464>	"craniofrontonasal dysplasia-Poland anomaly syndrome"	"Cranio-fronto-nasal dysplasia - Poland anomaly is a polymalformative syndrome characterized by craniosynostosis, Poland anomaly, cranio-fronto-nasal dysplasia, and genital and breast anomalies. Less than ten cases have been described so far."	""	
<http://purl.obolibrary.org/obo/MONDO_0015466>	"cranio-osteoarthropathy"	"Cranio-osteoarthropathy (COA) is a form of primary hypertrophic osteoarthropathy characterized by delayed closure of the cranial sutures and fontanels, digital clubbing, arthropathy, and periostosis."	""	
<http://purl.obolibrary.org/obo/MONDO_0015467>	"craniosynostosis, Philadelphia type"	"Craniosynostosis, Philadelphia type is a form of syndromic craniosynostosis, characterized by sagittal/dolichocephalic head shape with a relatively normal facial appearance and complete soft tissue syndactyly of hand and foot. Transmission is autosomal dominant with variable expression of the hand findings, and incomplete penetrance of the sagittal craniosynostosis. Craniosynostosis, Philadelphia type has been suggested to share the same etiology as syndactyly type 1A."	""	
<http://purl.obolibrary.org/obo/MONDO_0015468>	"craniosynostosis-cataract syndrome"		"True"	
<http://purl.obolibrary.org/obo/MONDO_0015470>	"obsolete familial isolated dilated cardiomyopathy"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015471>	"benign focal seizures of adolescence"	"A rare epilepsy typically characterized by isolated focal motor and somatosensory seizures. Less frequently other focal seizure types, with or without secondary generalization, have been described. The seizures usually happen when the patient is awake and take a benign course. The condition is transitory, interictal examinations are normal, and there is usually no family history of epilepsy."	""	
<http://purl.obolibrary.org/obo/MONDO_0015472>	"obsolete cryptococcosis"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015473>	"cryptorchidism-arachnodactyly-intellectual disability syndrome"	"Cryptorchidism-arachnodactyly-intellectual disability syndrome is a rare, multiple congenital anomalies syndrome characterized by psychomotor delay, severe intellectual deficit, severe muscle hypoplasia (with absence of subcutaneous fatty tissue), generalized contractures, craniofacial dysmorphic features (dolichocephaly, esotropia, ears of unequal size, high palate), chest and spinal deformities (i.e. sternum shifted to side, kyphoscoliosis), pulmonary anomalies (unilateral hypoplastic bronchial system), arachnodactyly, and genital abnormalities (cryptorchidism, hypospadias, testicular agenesis). Repeated respiratory tract infections and atelectasis are also associated. There have been no further descriptions in the literature since 1970."	""	
<http://purl.obolibrary.org/obo/MONDO_0015475>	"obsolete rare head and neck malformation"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015477>	"pinnae fistula or cyst"	"A rare otorhinolaryngological disease characterized by the presence of a, usually unilateral, sinus tract or cyst located in the vicinity of the auricle (most frequently identified by a small pit near the anterior margin of the first ascending portion of the helix). Typically, patients are asymptomatic and usually only present symptoms (pain, erythema, discharge from pit) in relation to infection. Renal and inner ear anomalies may be associated."	""	
<http://purl.obolibrary.org/obo/MONDO_0015478>	"obsolete paramedian facial cleft"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015479>	"submucosal cleft palate"		""	
<http://purl.obolibrary.org/obo/MONDO_0015480>	"coloboma of superior eyelid"	"Coloboma of superior eyelid is a rare developmental defect during embryogenesis characterized by a typically unilateral, partial or full-thickness, variably sized defect of the superior eyelid, ranging from a small notch to complete absence of the entire lid, which is commonly triangular in shape (with base at eyelid margin) and located on the medial third of the lid. It can occur isolated, associated with other anomalies (e.g. ocular/orbital and facial), or as part of a syndrome."	""	
<http://purl.obolibrary.org/obo/MONDO_0020357>	"coloboma of eyelid"	"A congenital abnormality in which a part of the upper or lower eyelid tissue is missing."	""	
<http://purl.obolibrary.org/obo/MONDO_0015481>	"coloboma of inferior eyelid"	"Coloboma of inferior eyelid is a rare developmental defect during embryogenesis characterized by a unilateral or bilateral, partial or full-thickness, variably sized defect of the inferior eyelid (ranging from a small notch to complete absence of the entire lid) which is usually triangular in shape (with base at eyelid margin) and located on the lateral third of the lid. It can occur isolated, associated with facial clefting or as part of a syndrome."	""	
<http://purl.obolibrary.org/obo/MONDO_0015482>	"obsolete otomandibular dysplasia"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015485>	"obsolete primary hereditary glaucoma"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015489>	"obsolete predominantly medium-vessel vasculitis"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0800113>	"necrotizing vasculitis"	"A type of vasculitis that is comprised of vasculitides that present with necrosis."	""	
<http://purl.obolibrary.org/obo/MONDO_0015493>	"lipoatrophy with diabetes, leukomelanodermic papules, liver steatosis, and hypertrophic cardiomyopathy"		""	
<http://purl.obolibrary.org/obo/MONDO_0015495>	"obsolete otomandibular dysplasia associated with monogenic syndromes"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015497>	"obsolete hypoglossia/aglossia"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015499>	"obsolete paralytic facial malformation"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015502>	"obsolete pinnae and external auditory canal anomaly"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015504>	"obsolete larynx anomaly"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015505>	"obsolete tracheal anomaly"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015507>	"obsolete rare genetic hepatic disease"	"OBSOLETE. Rare genetic liver disease."	""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015511>	"obsolete rare genetic urogenital disease"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0021145>	"obsolete disorder of genitourinary system"	"OBSOLETE. A disease that involves the genitourinary system."	""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015513>	"obsolete rare genetic endocrine disease"	"OBSOLETE. A form of endocrine system disease that is both rare and inborn."	""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015516>	"symbrachydactyly of hands and feet"	"A rare, non-syndromic limb reduction defect disorder characterized by unilateral or bilateral brachydactyly, cutaneous syndactyly and global hypoplasia of the hand and/or foot, with underlying muscles, tendons, ligaments and bones being affected but without other associated limb anomalies. Patients typically present short, stiff, webbed or missing fingers and/or toes which are often replaced with small stumps (nubbins) with residual nails."	""	
<http://purl.obolibrary.org/obo/MONDO_0017424>	"non-syndromic brachydactyly"		""	
<http://purl.obolibrary.org/obo/MONDO_0015983>	"obsolete rare genetic syndromic intellectual disability"	"OBSOLETE. Rare genetic syndromic intellectual disability."	""	"true"
<http://purl.obolibrary.org/obo/MONDO_0017641>	"obsolete miscellaneous movement disorder due to neurodegenerative disease"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0017662>	"obsolete miscellaneous movement disorder due to genetic neurodegenerative disease"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015519>	"congenital or early infantile CACH syndrome"		""	
<http://purl.obolibrary.org/obo/MONDO_0015520>	"late infantile CACH syndrome"		""	
<http://purl.obolibrary.org/obo/MONDO_0015521>	"juvenile or adult CACH syndrome"		""	
<http://purl.obolibrary.org/obo/MONDO_0015522>	"obsolete situs ambiguus"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0021121>	"hemangioendothelioma"	"A vascular proliferation characterized by the presence of prominent endothelial cells and the formation of vascular channels. Hemangioendotheliomas may display borderline or low grade characteristics."	""	
<http://purl.obolibrary.org/obo/MONDO_0015525>	"congenital pseudoarthrosis of the limbs"		""	
<http://purl.obolibrary.org/obo/MONDO_0018431>	"cold-induced sweating syndrome - hyperthermia spectrum"		""	
<http://purl.obolibrary.org/obo/MONDO_0015527>			""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015529>	"paroxysmal Hemicrania"	"Paroxysmal hemicrania (PH) is a primary headache disorder characterized by multiple attacks of unilateral pain that occur in association with cranial autonomic symptoms. The hallmarks of this syndrome are the relative shortness of the attacks and the complete response to indomethacin therapy."	""	
<http://purl.obolibrary.org/obo/MONDO_0015530>	"trigeminal autonomic cephalalgia"	"A headache disorder characterized by episodes of unilateral, short lasting pain and associated ipsilateral cranial autonomic symptoms."	""	
<http://purl.obolibrary.org/obo/MONDO_0017368>	"obsolete systemic disease with skin involvement"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015532>	"generalized eruptive histiocytosis"		""	
<http://purl.obolibrary.org/obo/MONDO_0015533>	"benign cephalic histiocytosis"		""	
<http://purl.obolibrary.org/obo/MONDO_0015535>	"xanthoma disseminatum"		""	
<http://purl.obolibrary.org/obo/MONDO_0015536>	"papular xanthoma"	"Papular xanthoma is a form of non-Langerhans cell histiocytosis characterized by cutaneous presentation of solitary or disseminated yellow to orange-brown papular or papulonodular, noncoalescent, asymptomatic skin lesions located predominantly on the head, neck, trunk and extremities (rarely on oral mucosa), in the presence of normolipidemia. Microscopically, the lesions consist of monomorphous infiltrate of xanthomatized macrophages and numerous Touton giant cells, with scant or absent inflammatory infiltrate. It is usually not associated with systemic disease."	""	
<http://purl.obolibrary.org/obo/MONDO_0015537>	"necrobiotic xanthogranuloma"	"A cutaneous necrobiotic disorder characterized by firm, yellow plaques or nodules, often in a periorbital distribution. It is often accompanied by an elevated erythrocyte sedimentation rate; leukopenia; and monoclonal gammopathy (IgG-kappa type) and systemic involvement."	""	
<http://purl.obolibrary.org/obo/MONDO_0015538>	"indeterminate dendritic cell tumor"	"A very rare dendritic cell tumor composed of spindle to ovoid cells with a phenotype that is similar to the Langerhans cells. Patients usually present with cutaneous papules, nodules, and plaques. Systemic symptoms are usually absent. The clinical course is variable."	""	
<http://purl.obolibrary.org/obo/MONDO_0015539>	"progressive nodular histiocytosis"	"Progressive nodular histiocytosis is a rare, normolipemic, non-Langerhans cell histiocytosis characterized by progressive growth of multiple to disseminated, asymptomatic skin lesions that range in appearance from yellow plaques to coalescence-prone red-brown papules, nodules and pedunculated tumors up to 5 cm in size, located typically on the face, trunk and extremities (and rarely on conjuctiva and mucous membranes). Characteristic microscopic findings include a storiform spindle cell infiltrate in the deep dermis with xanthomatized macrophages and some Touton cells in the upper dermis. It is usually not associated with systemic disease."	""	
<http://purl.obolibrary.org/obo/MONDO_0015542>	"secondary hemophagocytic lymphohistiocytosis"	"Hemophagocytic lymphohistiocytosis due to infections, autoimmune disorders, or underlying malignancies. Signs and symptoms include fever, lymphadenopathy, hepatomegaly, splenomegaly, and pancytopenia."	""	
<http://purl.obolibrary.org/obo/MONDO_0015543>	"obsolete hemophagocytic syndrome associated with an infection"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015544>	"acquired hemophagocytic lymphohistiocytosis associated with malignant disease"		""	
<http://purl.obolibrary.org/obo/MONDO_0015545>	"macrophage activation syndrome"	"A complication of rheumatic disease that is caused by excessive activation and uncontrolled proliferation of T lymphocytes and well-differentiated macrophages. It is characterized by fever, pancytopenia, liver insufficiency, coagulopathy and neurologic symptoms."	""	
<http://purl.obolibrary.org/obo/MONDO_0015546>	"non-distal monosomy 10q"	"Non-distal monosomy 10q is a rare chromosomal anomaly syndrome, resulting from a partial deletion of the long arm of chromosome 10, with a highly variable phenotype principally characterized by developmental delays (usually of language and speech), variable cognitive impairment and neurobehavioral abnormalities such as autism spectrum disorders and attention deficit disorder. Macrocephaly and mild dysmorphic features may by associated. Overlap with other syndromes, such as Cowden syndrome, Bannayan-Riley-Ruvalcaba syndrome and juvenile polyposis syndrome has been reported."	""	
<http://purl.obolibrary.org/obo/MONDO_0015549>	"obsolete rare genetic hematologic disease"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015551>	"obsolete basal epidermolysis bullosa simplex"	"OBSOLETE. A form of epidermolysis bullosa simplex in which blistering occurs within the basal keratinocytes."	""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015552>	"acral dystrophic epidermolysis bullosa"	"Acral dystrophic epidermolysis bullosa is a very rare subtype of dystrophic epidermolysis bullosa (DEB) characterized by blistering confined primarily to the hands and feet."	""	
<http://purl.obolibrary.org/obo/MONDO_0015553>	"dystrophic epidermolysis bullosa, nails only"	"Dystrophic epidermolysis bullosa, nails only is a rare subtype of dystrophic epidermolysis bullosa (DEB) that shows no blistering and that is characterized by dystrophic or absent nails."	""	
<http://purl.obolibrary.org/obo/MONDO_0015554>	"typical urticaria pigmentosa"		""	
<http://purl.obolibrary.org/obo/MONDO_0015555>	"plaque-form urticaria pigmentosa"		""	
<http://purl.obolibrary.org/obo/MONDO_0015556>	"nodular urticaria pigmentosa"		""	
<http://purl.obolibrary.org/obo/MONDO_0015557>	"Smouldering systemic mastocytosis"	"Smouldering systemic mastocytosis is a type of systemic mastocytosis (SM). This clonal hematologic disease, with a slow progression, results in an accumulation of neoplastic mast cells in the visceral organs over time and patients present with splenomegaly, hypercellular marrow and, in some cases, urticaria pigmentosa-like skin lesions."	""	
<http://purl.obolibrary.org/obo/MONDO_0015558>	"isolated bone marrow mastocytosis"		""	
<http://purl.obolibrary.org/obo/MONDO_0015559>	"lymphoadenopathic mastocytosis with eosinophilia"		"True"	
<http://purl.obolibrary.org/obo/MONDO_0015560>	"obsolete classic mast cell leukemia"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015561>	"obsolete aleukemic mast cell leukemia"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015562>	"distal monosomy 17q"	"Distal monosomy 17q is a very rare chromosomal disorder of unknown prevalence characterized by multiple craniofacial (microcephaly and eye, ear, and nose deformities), limb and other multiple organ abnormalities, growth and motor retardation and intellectual deficit. The syndrome is frequently lethal. The deletions include 17(q21.3q23), 17(q21.3q24.2), 17(q23.q24.3) and 17(q23.1q24.2)."	""	
<http://purl.obolibrary.org/obo/MONDO_0015563>	"obsolete blue cone monochromatism"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015564>	"Castleman disease"	"Castleman disease (CD) is a benign lymphoproliferative disorder that may present as a localized or multicentric form. The clinical manifestations are heterogeneous, ranging from asymptomatic discrete lymphadenopathy to recurrent episodes of diffuse lymphadenopathy with severe systemic symptoms."	""	
<http://purl.obolibrary.org/obo/MONDO_0015565>	"cap polyposis"	"Cap polyposis (CP) is a rare colorectal disease characterized by multiple inflammatory polyps that predominantly affect the rectosigmoid area and that manifests primarily as rectal bleeding with abnormal transit, constipation and diarrhea."	""	
<http://purl.obolibrary.org/obo/MONDO_0015566>	"2q24 microdeletion syndrome"	"2q24 microdeletion syndrome is a chromosomal anomaly consisting of a partial long arm deletion of chromosome 2 and characterized clinically by a wide range of manifestations (depending on the specific region deleted) which can include seizures, microcephaly, dysmorphic features, cleft palate, eye abnormalities (coloboma, cataract and microphthalmia), growth retardation, failure to thrive, heart defects, limb anomalies, developmental delay and autism."	""	
<http://purl.obolibrary.org/obo/MONDO_0015567>	"cataract-glaucoma syndrome"	"Cataract-glaucoma syndrome is characterized by the association of total bilateral congenital cataract with the secondary occurrence of glaucoma appearing at ages varying between 10 and 40 years."	""	
<http://purl.obolibrary.org/obo/MONDO_0015568>	"isolated congenital nasal pyriform aperture stenosis"		""	
<http://purl.obolibrary.org/obo/MONDO_0015569>	"congenital nasal pyriform aperture stenosis with holoprosencephaly"		""	
<http://purl.obolibrary.org/obo/MONDO_0015570>	"isolated congenital auditory ossicle malformation"	"Isolated congenital auditory ossicle malformation is a rare, congential, middle ear anomaly characterized by, usually unilateral and sporadic, variations in the number, size and/or configuration of the ossicles, with no tympanic membrane and external ear abnormalities and no history of trauma or infection. Patients frequently present late, after schooling has started, with non- progressive, conductive hearing loss often associated with speech delay and poor school performance."	""	
<http://purl.obolibrary.org/obo/MONDO_0015604>	"middle ear anomaly"		""	
<http://purl.obolibrary.org/obo/MONDO_0015571>	"deletion 5q35"	"Deletion 5q35 refers to the different congenital malformation syndromes resulting from deletions of variable extent of the terminal part of the long arm of chromosome 5 (5q), spanning the region from 5q35.1 to 5q35.3 . The most significant anomaly is a recurring deletion in 5q35.2 comprising the NSD1 gene that causes Sotos syndrome that is characterized by cardinal features including excessive growth during childhood, macrocephaly, distinctive facial gestalt and various degrees of learning difficulty. Subtelomeric deletions of the terminal 3.5 Mb region on 5q35.3 are very rare, characterized by prenatal lymphedema with increased nuchal translucency, pronounced muscular hypotonia in infancy, borderline intelligence, postnatal short stature due to growth hormone deficiency, and a variety of minor anomalies such as mildly bell-shaped chest, minor congenital heart defects and a distinct facial gestalt. Larger deletions including bands 5q35.1, 5q35.2 and 5q35.3 cause a more severe phenotype that associates severe developmental delay with microcephaly, and significant cardiac defects (e.g. atrial septal defect with/without atrioventricular conduction defects, Ebstein anomaly, tetralogy of Fallot) linked to haploinsufficiency of NKX2.5 (5q35.1). Various combinations of signs may result from deletions of variable extent depending on the genes comprised in the deleted segment."	""	
<http://purl.obolibrary.org/obo/MONDO_0015572>	"obsolete cerebral malformation due to abnormal neuronal migration"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0016054>	"obsolete cerebral malformation"		""	"true"
