?exact	?term	?term_label	?term2	?term_label2	?xrefs
"leukodystrophy with oligodontia"	<http://purl.obolibrary.org/obo/MONDO_0019177>	"odontoleukodystrophy"	<http://purl.obolibrary.org/obo/MONDO_0011897>	"leukoencephalopathy-ataxia-hypodontia-hypomyelination syndrome"	"Orphanet:77295|DOID:0060794"
"lipoatrophic diabetes"	<http://purl.obolibrary.org/obo/MONDO_0005827>	"lipoatrophic diabetes"	<http://purl.obolibrary.org/obo/MONDO_0018883>	"Berardinelli-Seip congenital lipodystrophy"	"MESH:D003923|Orphanet:528"
"lipoatrophic diabetes"	<http://purl.obolibrary.org/obo/MONDO_0018883>	"Berardinelli-Seip congenital lipodystrophy"	<http://purl.obolibrary.org/obo/MONDO_0005827>	"lipoatrophic diabetes"	"Orphanet:528|MESH:D003923"
"long bone deficiencies associated with cleft lip-palate"	<http://purl.obolibrary.org/obo/MONDO_0009997>	"Roberts syndrome"	<http://purl.obolibrary.org/obo/MONDO_0100253>	"Roberts-SC phocomelia syndrome"	"DOID:5325|OMIM:268300"
"long bone deficiencies associated with cleft lip-palate"	<http://purl.obolibrary.org/obo/MONDO_0100253>	"Roberts-SC phocomelia syndrome"	<http://purl.obolibrary.org/obo/MONDO_0009997>	"Roberts syndrome"	"OMIM:268300|DOID:5325"
"macular degeneration, age-related"	<http://purl.obolibrary.org/obo/MONDO_0011285>	"age related macular degeneration 1"	<http://purl.obolibrary.org/obo/MONDO_0005150>	"age-related macular degeneration"	"OMIM:genemap2|OMIMPS:603075|OMIM:603075|OMIMPS:603075"
"major depressive disorder 1"	<http://purl.obolibrary.org/obo/MONDO_0012050>	"major depressive disorder 1"	<http://purl.obolibrary.org/obo/MONDO_0002009>	"major depressive disorder"	"OMIM:608520|OMIM:genemap2|OMIM:608520|OMIM:608516"
"major depressive disorder 1"	<http://purl.obolibrary.org/obo/MONDO_0002009>	"major depressive disorder"	<http://purl.obolibrary.org/obo/MONDO_0012050>	"major depressive disorder 1"	"OMIM:genemap2|OMIM:608520|OMIM:608516|OMIM:608520"
"major depressive disorder 2"	<http://purl.obolibrary.org/obo/MONDO_0012100>	"major depressive disorder 2"	<http://purl.obolibrary.org/obo/MONDO_0002009>	"major depressive disorder"	"OMIM:608691|OMIM:genemap2|OMIM:608691|OMIM:608516"
"major depressive disorder 2"	<http://purl.obolibrary.org/obo/MONDO_0002009>	"major depressive disorder"	<http://purl.obolibrary.org/obo/MONDO_0012100>	"major depressive disorder 2"	"OMIM:genemap2|OMIM:608691|OMIM:608516|OMIM:608691"
"malignant granulosa cell neoplasm"	<http://purl.obolibrary.org/obo/MONDO_0006036>	"granulosa cell tumor"	<http://purl.obolibrary.org/obo/MONDO_0020541>	"maligant granulosa cell tumor of ovary"	"DOID:2999|MONDO:patterns/cancer"
"malignant granulosa cell neoplasm"	<http://purl.obolibrary.org/obo/MONDO_0020541>	"maligant granulosa cell tumor of ovary"	<http://purl.obolibrary.org/obo/MONDO_0006036>	"granulosa cell tumor"	"MONDO:patterns/cancer|DOID:2999"
"malignant ovarian serous tumor"	<http://purl.obolibrary.org/obo/MONDO_0005211>	"ovarian serous adenocarcinoma"	<http://purl.obolibrary.org/obo/MONDO_0024885>	"malignant ovarian serous tumor"	"DOID:5744|NCIT:C40025"
"malignant ovarian serous tumor"	<http://purl.obolibrary.org/obo/MONDO_0024885>	"malignant ovarian serous tumor"	<http://purl.obolibrary.org/obo/MONDO_0005211>	"ovarian serous adenocarcinoma"	"NCIT:C40025|DOID:5744"
"medullary thyroid carcinoma"	<http://purl.obolibrary.org/obo/MONDO_0015277>	"medullary thyroid gland carcinoma"	<http://purl.obolibrary.org/obo/MONDO_0007958>	"familial medullary thyroid carcinoma"	"NCIT:C3879|OMIM:genemap2|NCIT:C3879|OMIM:155240|MONDO:ambiguous|OMIM:genemap2|MONDO:ambiguous|OMIM:155240|DOID:3973|OMIM:genemap2|DOID:3973|OMIM:155240"
"medullary thyroid carcinoma"	<http://purl.obolibrary.org/obo/MONDO_0007958>	"familial medullary thyroid carcinoma"	<http://purl.obolibrary.org/obo/MONDO_0015277>	"medullary thyroid gland carcinoma"	"OMIM:genemap2|NCIT:C3879|OMIM:genemap2|MONDO:ambiguous|OMIM:genemap2|DOID:3973|OMIM:155240|NCIT:C3879|OMIM:155240|MONDO:ambiguous|OMIM:155240|DOID:3973"
"mesodermal Dysmorphodystrophy, congenital"	<http://purl.obolibrary.org/obo/MONDO_0018096>	"Weill-Marchesani syndrome"	<http://purl.obolibrary.org/obo/MONDO_0012013>	"Weill-Marchesani syndrome 2, dominant"	"DOID:0050475|OMIM:608328"
"mesodermal Dysmorphodystrophy, congenital"	<http://purl.obolibrary.org/obo/MONDO_0012013>	"Weill-Marchesani syndrome 2, dominant"	<http://purl.obolibrary.org/obo/MONDO_0018096>	"Weill-Marchesani syndrome"	"OMIM:608328|DOID:0050475"
"mitral valve prolapse syndrome"	<http://purl.obolibrary.org/obo/MONDO_0011479>	"postural orthostatic tachycardia syndrome"	<http://purl.obolibrary.org/obo/MONDO_0004910>	"mitral valve prolapse"	"DOID:0111154|NCIT:C50655"
"mixed phenotype acute leukemia"	<http://purl.obolibrary.org/obo/MONDO_0020743>	"mixed phenotype acute leukemia"	<http://purl.obolibrary.org/obo/MONDO_0019460>	"acute leukemia of ambiguous lineage"	"NCIT:C82179|Orphanet:86851"
"mucolipidosis type IV"	<http://purl.obolibrary.org/obo/MONDO_0017719>	"gangliosidosis"	<http://purl.obolibrary.org/obo/MONDO_0009653>	"mucolipidosis type IV"	"DOID:2368|GARD:0000094"
"mucolipidosis type IV"	<http://purl.obolibrary.org/obo/MONDO_0009653>	"mucolipidosis type IV"	<http://purl.obolibrary.org/obo/MONDO_0017719>	"gangliosidosis"	"GARD:0000094|DOID:2368"
"neoplasm of endocrine gland"	<http://purl.obolibrary.org/obo/MONDO_0021069>	"malignant endocrine neoplasm"	<http://purl.obolibrary.org/obo/MONDO_0002082>	"endocrine gland neoplasm"	"DOID:170|MONDO:patterns/neoplasm"
"neoplasm of endocrine gland"	<http://purl.obolibrary.org/obo/MONDO_0002082>	"endocrine gland neoplasm"	<http://purl.obolibrary.org/obo/MONDO_0021069>	"malignant endocrine neoplasm"	"MONDO:patterns/neoplasm|DOID:170"
"neoplasm of middle ear"	<http://purl.obolibrary.org/obo/MONDO_0003275>	"middle ear cancer"	<http://purl.obolibrary.org/obo/MONDO_0021366>	"neoplasm of middle ear"	"DOID:5099|MONDO:patterns/neoplasm"
"neoplasm of middle ear"	<http://purl.obolibrary.org/obo/MONDO_0021366>	"neoplasm of middle ear"	<http://purl.obolibrary.org/obo/MONDO_0003275>	"middle ear cancer"	"MONDO:patterns/neoplasm|DOID:5099"
"neoplasm of pituitary gland"	<http://purl.obolibrary.org/obo/MONDO_0002109>	"pituitary cancer"	<http://purl.obolibrary.org/obo/MONDO_0017611>	"pituitary tumor"	"DOID:1785|NCIT:C3330|DOID:1785|MONDO:patterns/neoplasm"
"neoplasm of pituitary gland"	<http://purl.obolibrary.org/obo/MONDO_0017611>	"pituitary tumor"	<http://purl.obolibrary.org/obo/MONDO_0002109>	"pituitary cancer"	"NCIT:C3330|DOID:1785|MONDO:patterns/neoplasm|DOID:1785"
"neoplasm of placenta"	<http://purl.obolibrary.org/obo/MONDO_0002178>	"placenta cancer"	<http://purl.obolibrary.org/obo/MONDO_0021218>	"placenta neoplasm"	"DOID:2021|NCIT:C4858|DOID:2021|MONDO:patterns/neoplasm"
"neoplasm of placenta"	<http://purl.obolibrary.org/obo/MONDO_0021218>	"placenta neoplasm"	<http://purl.obolibrary.org/obo/MONDO_0002178>	"placenta cancer"	"NCIT:C4858|DOID:2021|MONDO:patterns/neoplasm|DOID:2021"
"neoplasm of testis"	<http://purl.obolibrary.org/obo/MONDO_0005447>	"testicular cancer"	<http://purl.obolibrary.org/obo/MONDO_0021348>	"neoplasm of testis"	"DOID:2998|MONDO:patterns/neoplasm"
"neoplasm of testis"	<http://purl.obolibrary.org/obo/MONDO_0021348>	"neoplasm of testis"	<http://purl.obolibrary.org/obo/MONDO_0005447>	"testicular cancer"	"MONDO:patterns/neoplasm|DOID:2998"
"nesidioblastosis"	<http://purl.obolibrary.org/obo/MONDO_0017182>	"familial hyperinsulinism"	<http://purl.obolibrary.org/obo/MONDO_0007834>	"islet cell adenomatosis"	"NCIT:C131425|NCIT:C4375"
"nesidioblastosis"	<http://purl.obolibrary.org/obo/MONDO_0007834>	"islet cell adenomatosis"	<http://purl.obolibrary.org/obo/MONDO_0017182>	"familial hyperinsulinism"	"NCIT:C4375|NCIT:C131425"
"neurofibromatosis type 1 microdeletion syndrome"	<http://purl.obolibrary.org/obo/MONDO_0018975>	"neurofibromatosis type 1"	<http://purl.obolibrary.org/obo/MONDO_0013357>	"chromosome 17q11.2 deletion syndrome, 1.4Mb"	"NCIT:C3273|Orphanet:97685|NCIT:C3273|DOID:0060403"
"neurofibromatosis type 1 microdeletion syndrome"	<http://purl.obolibrary.org/obo/MONDO_0013357>	"chromosome 17q11.2 deletion syndrome, 1.4Mb"	<http://purl.obolibrary.org/obo/MONDO_0018975>	"neurofibromatosis type 1"	"Orphanet:97685|NCIT:C3273|DOID:0060403|NCIT:C3273"
"neurogenic diabetes insipidus"	<http://purl.obolibrary.org/obo/MONDO_0007450>	"neurohypophyseal diabetes insipidus"	<http://purl.obolibrary.org/obo/MONDO_0015790>	"central diabetes insipidus"	"NCIT:C84933|Orphanet:178029"
"neurogenic diabetes insipidus"	<http://purl.obolibrary.org/obo/MONDO_0015790>	"central diabetes insipidus"	<http://purl.obolibrary.org/obo/MONDO_0007450>	"neurohypophyseal diabetes insipidus"	"Orphanet:178029|NCIT:C84933"
"non-functioning neoplasm of the pituitary"	<http://purl.obolibrary.org/obo/MONDO_0019613>	"non-functioning pituitary adenoma"	<http://purl.obolibrary.org/obo/MONDO_0003603>	"non-functioning pituitary gland neoplasm"	"DOID:5715|NCIT:C4009"
"non-functioning neoplasm of the pituitary"	<http://purl.obolibrary.org/obo/MONDO_0003603>	"non-functioning pituitary gland neoplasm"	<http://purl.obolibrary.org/obo/MONDO_0019613>	"non-functioning pituitary adenoma"	"NCIT:C4009|DOID:5715"
"osseous neoplasm"	<http://purl.obolibrary.org/obo/MONDO_0019060>	"bone neoplasm"	<http://purl.obolibrary.org/obo/MONDO_0045053>	"osteogenic neoplasm"	"NCIT:C9343|NCIT:C6603"
"osseous tumor"	<http://purl.obolibrary.org/obo/MONDO_0019060>	"bone neoplasm"	<http://purl.obolibrary.org/obo/MONDO_0045053>	"osteogenic neoplasm"	"NCIT:C9343|NCIT:C6603"
"otomandibular dysostosis"	<http://purl.obolibrary.org/obo/MONDO_0015397>	"oculo-auriculo-vertebral spectrum"	<http://purl.obolibrary.org/obo/MONDO_0015398>	"hemifacial microsomia"	"DOID:2907|Orphanet:141136"
"otomandibular dysostosis"	<http://purl.obolibrary.org/obo/MONDO_0015398>	"hemifacial microsomia"	<http://purl.obolibrary.org/obo/MONDO_0015397>	"oculo-auriculo-vertebral spectrum"	"Orphanet:141136|DOID:2907"
"ovarian adenoacanthoma"	<http://purl.obolibrary.org/obo/MONDO_0002752>	"ovarian adenocarcinoma"	<http://purl.obolibrary.org/obo/MONDO_0006336>	"ovarian endometrioid adenocarcinoma with squamous differentiation"	"DOID:3713|NCIT:C40061"
"ovarian adenoacanthoma"	<http://purl.obolibrary.org/obo/MONDO_0006336>	"ovarian endometrioid adenocarcinoma with squamous differentiation"	<http://purl.obolibrary.org/obo/MONDO_0002752>	"ovarian adenocarcinoma"	"NCIT:C40061|DOID:3713"
"pancreatic gastrinoma"	<http://purl.obolibrary.org/obo/MONDO_0003525>	"pancreatic gastrin-producing neuroendocrine tumor"	<http://purl.obolibrary.org/obo/MONDO_0024638>	"pancreatic gastrinoma"	"DOID:5580|NCIT:C95596"
"pancreatic gastrinoma"	<http://purl.obolibrary.org/obo/MONDO_0024638>	"pancreatic gastrinoma"	<http://purl.obolibrary.org/obo/MONDO_0003525>	"pancreatic gastrin-producing neuroendocrine tumor"	"NCIT:C95596|DOID:5580"
"peroneal muscular atrophy"	<http://purl.obolibrary.org/obo/MONDO_0007307>	"Charcot-Marie-Tooth disease type 1B"	<http://purl.obolibrary.org/obo/MONDO_0015626>	"Charcot-Marie-Tooth disease"	"DOID:0110152|ICD9CM:356.1|DOID:0110152|DOID:10595"
"peroneal muscular atrophy"	<http://purl.obolibrary.org/obo/MONDO_0015626>	"Charcot-Marie-Tooth disease"	<http://purl.obolibrary.org/obo/MONDO_0007307>	"Charcot-Marie-Tooth disease type 1B"	"ICD9CM:356.1|DOID:0110152|DOID:10595|DOID:0110152"
"peroxisome biogenesis disorder"	<http://purl.obolibrary.org/obo/MONDO_0019609>	"Zellweger spectrum disorders"	<http://purl.obolibrary.org/obo/MONDO_0019234>	"peroxisome biogenesis disorder"	"DOID:905|https://www.clinicalgenome.org/affiliation/40049/"
"peroxisome biogenesis disorder"	<http://purl.obolibrary.org/obo/MONDO_0019234>	"peroxisome biogenesis disorder"	<http://purl.obolibrary.org/obo/MONDO_0019609>	"Zellweger spectrum disorders"	"https://www.clinicalgenome.org/affiliation/40049/|DOID:905"
"phosphoethanolaminuria"	<http://purl.obolibrary.org/obo/MONDO_0018570>	"hypophosphatasia"	<http://purl.obolibrary.org/obo/MONDO_0009427>	"obsolete infantile hypophosphatasia"	"Orphanet:436|DOID:0110914"
"poikiloderma with neutropenia, Clericuzio type"	<http://purl.obolibrary.org/obo/MONDO_0008693>	"ablepharon macrostomia syndrome"	<http://purl.obolibrary.org/obo/MONDO_0011405>	"poikiloderma with neutropenia"	"DOID:0060550|Orphanet:221046"
"poikiloderma with neutropenia, Clericuzio type"	<http://purl.obolibrary.org/obo/MONDO_0011405>	"poikiloderma with neutropenia"	<http://purl.obolibrary.org/obo/MONDO_0008693>	"ablepharon macrostomia syndrome"	"Orphanet:221046|DOID:0060550"
"popliteal web syndrome"	<http://purl.obolibrary.org/obo/MONDO_0017435>	"popliteal pterygium syndrome"	<http://purl.obolibrary.org/obo/MONDO_0007334>	"autosomal dominant popliteal pterygium syndrome"	"DOID:0060055|Orphanet:1300"
"popliteal web syndrome"	<http://purl.obolibrary.org/obo/MONDO_0007334>	"autosomal dominant popliteal pterygium syndrome"	<http://purl.obolibrary.org/obo/MONDO_0017435>	"popliteal pterygium syndrome"	"Orphanet:1300|DOID:0060055"
"premature ovarian failure"	<http://purl.obolibrary.org/obo/MONDO_0001119>	"premature menopause"	<http://purl.obolibrary.org/obo/MONDO_0005387>	"primary ovarian failure"	"NCIT:C80099|Orphanet:619|NCIT:C80099|MESH:D016649"
"premature ovarian failure"	<http://purl.obolibrary.org/obo/MONDO_0005387>	"primary ovarian failure"	<http://purl.obolibrary.org/obo/MONDO_0001119>	"premature menopause"	"Orphanet:619|NCIT:C80099|MESH:D016649|NCIT:C80099"
"prolactin-producing pituitary gland carcinoma"	<http://purl.obolibrary.org/obo/MONDO_0003430>	"prolactin producing pituitary tumor"	<http://purl.obolibrary.org/obo/MONDO_0006388>	"prolactin-producing pituitary gland carcinoma"	"DOID:5396|NCIT:C5962"
"prolactin-producing pituitary gland carcinoma"	<http://purl.obolibrary.org/obo/MONDO_0006388>	"prolactin-producing pituitary gland carcinoma"	<http://purl.obolibrary.org/obo/MONDO_0003430>	"prolactin producing pituitary tumor"	"NCIT:C5962|DOID:5396"
"pseudothalidomide syndrome"	<http://purl.obolibrary.org/obo/MONDO_0100253>	"Roberts-SC phocomelia syndrome"	<http://purl.obolibrary.org/obo/MONDO_0009997>	"Roberts syndrome"	"NCIT:C4681|Orphanet:3103"
"pseudothalidomide syndrome"	<http://purl.obolibrary.org/obo/MONDO_0009997>	"Roberts syndrome"	<http://purl.obolibrary.org/obo/MONDO_0100253>	"Roberts-SC phocomelia syndrome"	"Orphanet:3103|NCIT:C4681"
"schizophrenia 12"	<http://purl.obolibrary.org/obo/MONDO_0012054>	"schizophrenia 12"	<http://purl.obolibrary.org/obo/MONDO_0005090>	"schizophrenia"	"OMIM:608543|OMIM:genemap2|OMIM:608543|OMIM:181500"
"schizophrenia 12"	<http://purl.obolibrary.org/obo/MONDO_0005090>	"schizophrenia"	<http://purl.obolibrary.org/obo/MONDO_0012054>	"schizophrenia 12"	"OMIM:genemap2|OMIM:608543|OMIM:181500|OMIM:608543"
"schizophrenia, susceptibility to"	<http://purl.obolibrary.org/obo/MONDO_0011280>	"schizophrenia 6"	<http://purl.obolibrary.org/obo/MONDO_0005090>	"schizophrenia"	"OMIM:genemap2|OMIM:genemap2|OMIM:genemap2|OMIM:181500|OMIM:603013|OMIM:genemap2|OMIM:603013|OMIM:181500"
"schizophrenia, susceptibility to"	<http://purl.obolibrary.org/obo/MONDO_0005090>	"schizophrenia"	<http://purl.obolibrary.org/obo/MONDO_0011280>	"schizophrenia 6"	"OMIM:genemap2|OMIM:genemap2|OMIM:genemap2|OMIM:603013|OMIM:181500|OMIM:genemap2|OMIM:181500|OMIM:603013"
"secondary hyperparathyroidism"	<http://purl.obolibrary.org/obo/MONDO_0001530>	"secondary hyperparathyroidism of renal origin"	<http://purl.obolibrary.org/obo/MONDO_0006964>	"secondary hyperparathyroidism"	"DOID:12465|MONDO:ambiguous"
"secondary hyperparathyroidism"	<http://purl.obolibrary.org/obo/MONDO_0006964>	"secondary hyperparathyroidism"	<http://purl.obolibrary.org/obo/MONDO_0001530>	"secondary hyperparathyroidism of renal origin"	"MONDO:ambiguous|DOID:12465"
"serous cystadenoma"	<http://purl.obolibrary.org/obo/MONDO_0006046>	"ovarian serous cystadenocarcinoma"	<http://purl.obolibrary.org/obo/MONDO_0005177>	"serous cystadenoma"	"DOID:5746|NCIT:C3783"
"skeletal sarcoma"	<http://purl.obolibrary.org/obo/MONDO_0021054>	"bone sarcoma"	<http://purl.obolibrary.org/obo/MONDO_0009807>	"osteosarcoma"	"NCIT:C9312|DOID:3347"
"small cell and large cell carcinoma of the lung"	<http://purl.obolibrary.org/obo/MONDO_0003438>	"combined small cell lung carcinoma"	<http://purl.obolibrary.org/obo/MONDO_0004100>	"lung mixed small cell and squamous cell carcinoma"	"NCIT:C9137|NCIT:C9424|NCIT:C9137|DOID:7081"
"small cell and large cell carcinoma of the lung"	<http://purl.obolibrary.org/obo/MONDO_0004100>	"lung mixed small cell and squamous cell carcinoma"	<http://purl.obolibrary.org/obo/MONDO_0003438>	"combined small cell lung carcinoma"	"NCIT:C9424|NCIT:C9137|DOID:7081|NCIT:C9137"
"spastic paraparesis-amyopathy-cataracts-gastroesophageal reflux syndrome"	<http://purl.obolibrary.org/obo/MONDO_0011006>	"hereditary spastic paraplegia 9A"	<http://purl.obolibrary.org/obo/MONDO_0015091>	"autosomal dominant spastic paraplegia type 9"	"DOID:0110824|Orphanet:100990"
"spastic paraparesis-amyopathy-cataracts-gastroesophageal reflux syndrome"	<http://purl.obolibrary.org/obo/MONDO_0015091>	"autosomal dominant spastic paraplegia type 9"	<http://purl.obolibrary.org/obo/MONDO_0011006>	"hereditary spastic paraplegia 9A"	"Orphanet:100990|DOID:0110824"
"specific granule deficiency"	<http://purl.obolibrary.org/obo/MONDO_0009506>	"specific granule deficiency"	<http://purl.obolibrary.org/obo/MONDO_0044207>	"specific granule deficiency 1"	"OMIM:245480|OMIM:genemap2|OMIM:245480|OMIM:245480|MONDO:Lexical|OMIM:genemap2|MONDO:Lexical|OMIM:245480"
"specific granule deficiency"	<http://purl.obolibrary.org/obo/MONDO_0044207>	"specific granule deficiency 1"	<http://purl.obolibrary.org/obo/MONDO_0009506>	"specific granule deficiency"	"OMIM:genemap2|OMIM:245480|OMIM:genemap2|MONDO:Lexical|OMIM:245480|OMIM:245480|OMIM:245480|MONDO:Lexical"
"spherophakia-brachymorphia syndrome"	<http://purl.obolibrary.org/obo/MONDO_0012013>	"Weill-Marchesani syndrome 2, dominant"	<http://purl.obolibrary.org/obo/MONDO_0018096>	"Weill-Marchesani syndrome"	"OMIM:608328|Orphanet:3449"
"spherophakia-brachymorphia syndrome"	<http://purl.obolibrary.org/obo/MONDO_0018096>	"Weill-Marchesani syndrome"	<http://purl.obolibrary.org/obo/MONDO_0012013>	"Weill-Marchesani syndrome 2, dominant"	"Orphanet:3449|OMIM:608328"
"spinal dysraphism"	<http://purl.obolibrary.org/obo/MONDO_0006995>	"tethered spinal cord syndrome"	<http://purl.obolibrary.org/obo/MONDO_0018075>	"neural tube defect"	"DOID:1089|NCIT:C84923"
"synovioma, benign"	<http://purl.obolibrary.org/obo/MONDO_0002399>	"tenosynovial giant cell tumor, localized type"	<http://purl.obolibrary.org/obo/MONDO_0024715>	"benign synovial neoplasm"	"DOID:2701|NCIT:C3829"
"testicular germ cell tumor"	<http://purl.obolibrary.org/obo/MONDO_0010274>	"testicular germ cell tumor 1"	<http://purl.obolibrary.org/obo/MONDO_0010108>	"testicular germ cell tumor"	"OMIM:genemap2|Orphanet:363504|OMIM:genemap2|OMIM:273300|OMIM:genemap2|NCIT:C8591|OMIM:genemap2|MONDO:Lexical|OMIM:300228|Orphanet:363504|OMIM:300228|OMIM:273300|OMIM:300228|NCIT:C8591|OMIM:300228|MONDO:Lexical"
"testicular germ cell tumor"	<http://purl.obolibrary.org/obo/MONDO_0010108>	"testicular germ cell tumor"	<http://purl.obolibrary.org/obo/MONDO_0010274>	"testicular germ cell tumor 1"	"Orphanet:363504|OMIM:genemap2|Orphanet:363504|OMIM:300228|OMIM:273300|OMIM:genemap2|OMIM:273300|OMIM:300228|NCIT:C8591|OMIM:genemap2|NCIT:C8591|OMIM:300228|MONDO:Lexical|OMIM:genemap2|MONDO:Lexical|OMIM:300228"
"thyroid gland adenoma"	<http://purl.obolibrary.org/obo/MONDO_0005032>	"follicular thyroid adenoma"	<http://purl.obolibrary.org/obo/MONDO_0002454>	"thyroid adenoma"	"NCIT:C3502|MONDO:patterns/location"
"thyroid hormone resistance"	<http://purl.obolibrary.org/obo/MONDO_0001328>	"thyroid hormone resistance syndrome"	<http://purl.obolibrary.org/obo/MONDO_0008569>	"thyroid hormone resistance, generalized, autosomal dominant"	"DOID:11633|OMIM:genemap2|DOID:11633|OMIM:188570"
"thyroid hormone resistance"	<http://purl.obolibrary.org/obo/MONDO_0008569>	"thyroid hormone resistance, generalized, autosomal dominant"	<http://purl.obolibrary.org/obo/MONDO_0001328>	"thyroid hormone resistance syndrome"	"OMIM:genemap2|DOID:11633|OMIM:188570|DOID:11633"
"toxemia of pregnancy"	<http://purl.obolibrary.org/obo/MONDO_0045048>	"toxemia of pregnancy"	<http://purl.obolibrary.org/obo/MONDO_0100467>	"preeclampsia/eclampsia 1"	"NCIT:C34943|OMIM:189800"
"toxemia of pregnancy"	<http://purl.obolibrary.org/obo/MONDO_0100467>	"preeclampsia/eclampsia 1"	<http://purl.obolibrary.org/obo/MONDO_0045048>	"toxemia of pregnancy"	"OMIM:189800|NCIT:C34943"
"transmissible spongiform encephalopathy"	<http://purl.obolibrary.org/obo/MONDO_0018926>	"human prion disease"	<http://purl.obolibrary.org/obo/MONDO_0005429>	"prion disease"	"Orphanet:56970|DOID:649"
"trimethylaminuria"	<http://purl.obolibrary.org/obo/MONDO_0011182>	"trimethylaminuria"	<http://purl.obolibrary.org/obo/MONDO_0018767>	"severe primary trimethylaminuria"	"OMIM:602079|OMIM:genemap2|OMIM:602079|OMIM:602079|MONDO:ambiguous|OMIM:genemap2|MONDO:ambiguous|OMIM:602079|MONDO:Lexical|OMIM:genemap2|MONDO:Lexical|OMIM:602079"
"trimethylaminuria"	<http://purl.obolibrary.org/obo/MONDO_0018767>	"severe primary trimethylaminuria"	<http://purl.obolibrary.org/obo/MONDO_0011182>	"trimethylaminuria"	"OMIM:genemap2|OMIM:602079|OMIM:genemap2|MONDO:ambiguous|OMIM:genemap2|MONDO:Lexical|OMIM:602079|OMIM:602079|OMIM:602079|MONDO:ambiguous|OMIM:602079|MONDO:Lexical"
"tumor of adipose tissue"	<http://purl.obolibrary.org/obo/MONDO_0005106>	"lipoma"	<http://purl.obolibrary.org/obo/MONDO_0021354>	"tumor of adipose tissue"	"DOID:3315|MONDO:patterns/neoplasm"
"urinary tract infection"	<http://purl.obolibrary.org/obo/MONDO_0001650>	"acute cystitis"	<http://purl.obolibrary.org/obo/MONDO_0005247>	"bacterial urinary tract infection"	"DOID:13148|MONDO:ambiguous"
"urinary tract infection"	<http://purl.obolibrary.org/obo/MONDO_0005247>	"bacterial urinary tract infection"	<http://purl.obolibrary.org/obo/MONDO_0001650>	"acute cystitis"	"MONDO:ambiguous|DOID:13148"
"vaginal melanoma"	<http://purl.obolibrary.org/obo/MONDO_0002141>	"cutaneous undifferentiated pleomorphic sarcoma"	<http://purl.obolibrary.org/obo/MONDO_0006489>	"vaginal melanoma"	"DOID:1906|NCIT:C27394"
"vaginal melanoma"	<http://purl.obolibrary.org/obo/MONDO_0006489>	"vaginal melanoma"	<http://purl.obolibrary.org/obo/MONDO_0002141>	"cutaneous undifferentiated pleomorphic sarcoma"	"NCIT:C27394|DOID:1906"
"von Reklinghausen disease"	<http://purl.obolibrary.org/obo/MONDO_0018975>	"neurofibromatosis type 1"	<http://purl.obolibrary.org/obo/MONDO_0021061>	"neurofibromatosis"	"DOID:8712|DOID:8712"
"von Reklinghausen disease"	<http://purl.obolibrary.org/obo/MONDO_0021061>	"neurofibromatosis"	<http://purl.obolibrary.org/obo/MONDO_0018975>	"neurofibromatosis type 1"	"DOID:8712|DOID:8712"
