?term	?term_label	?related	?xref2
<http://purl.obolibrary.org/obo/MONDO_0012102>	"GLC1K"	"glaucoma 1, open angle, K"	"OMIM:608696"
<http://purl.obolibrary.org/obo/MONDO_0012102>	"GLC1K"	"glaucoma 1, open angle, K"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013106>	"BCC6"	"basal cell carcinoma, susceptibility to, 6"	"OMIM:613063"
<http://purl.obolibrary.org/obo/MONDO_0013106>	"BCC6"	"basal cell carcinoma, susceptibility to, 6"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010450>	"MRX89"	"intellectual disability, X-linked 89"	"OMIM:300848"
<http://purl.obolibrary.org/obo/MONDO_0010450>	"MRX89"	"intellectual disability, X-linked 89"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013716>	"AAA4"	"aortic aneurysm, familial abdominal, 4"	"OMIM:614375"
<http://purl.obolibrary.org/obo/MONDO_0013716>	"AAA4"	"aortic aneurysm, familial abdominal, 4"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012601>	"AUTS10"	"autism, susceptibility to, 10"	"OMIM:611016"
<http://purl.obolibrary.org/obo/MONDO_0012601>	"AUTS10"	"autism, susceptibility to, 10"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013631>	"LNCR5"	"lung cancer susceptibility 5"	"OMIM:614210"
<http://purl.obolibrary.org/obo/MONDO_0013631>	"LNCR5"	"lung cancer susceptibility 5"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013704>	"MRT30"	"mental retardation, autosomal recessive 30"	"OMIM:614342"
<http://purl.obolibrary.org/obo/MONDO_0013704>	"MRT30"	"mental retardation, autosomal recessive 30"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012101>	"GLC1J"	"glaucoma 1, open angle, J"	"OMIM:608695"
<http://purl.obolibrary.org/obo/MONDO_0012101>	"GLC1J"	"glaucoma 1, open angle, J"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013488>	"APLDC3"	"lipodystrophy, partial, acquired, with LOW complement component C3, with or without glomerulonephritis"	"OMIM:613913"
<http://purl.obolibrary.org/obo/MONDO_0013488>	"APLDC3"	"lipodystrophy, partial, acquired, with LOW complement component C3, with or without glomerulonephritis"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011900>	"POROK4"	"porokeratosis 4, disseminated superficial actinic type"	"OMIM:607728"
<http://purl.obolibrary.org/obo/MONDO_0011900>	"POROK4"	"porokeratosis 4, disseminated superficial actinic type"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010257>	"HPCX1"	"prostate cancer, hereditary, X-linked 1"	"OMIM:300147"
<http://purl.obolibrary.org/obo/MONDO_0010257>	"HPCX1"	"prostate cancer, hereditary, X-linked 1"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013448>	"GEFSP8"	"generalized epilepsy with febrile seizures plus, type 8"	"OMIM:613828"
<http://purl.obolibrary.org/obo/MONDO_0013448>	"GEFSP8"	"generalized epilepsy with febrile seizures plus, type 8"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011733>	"PSMNSB"	"parasomnia, sleep bruxism type"	"OMIM:606840"
<http://purl.obolibrary.org/obo/MONDO_0011733>	"PSMNSB"	"parasomnia, sleep bruxism type"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010846>	"EXT3"	"exostoses, multiple, type III"	"OMIM:600209"
<http://purl.obolibrary.org/obo/MONDO_0010846>	"EXT3"	"exostoses, multiple, type III"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012618>	"MRT10"	"mental retardation, autosomal recessive 10"	"OMIM:611096"
<http://purl.obolibrary.org/obo/MONDO_0012618>	"MRT10"	"mental retardation, autosomal recessive 10"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012214>	"GCCD3"	"glucocorticoid deficiency 3"	"OMIM:609197"
<http://purl.obolibrary.org/obo/MONDO_0012214>	"GCCD3"	"glucocorticoid deficiency 3"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0007754>	"HYPRPP"	"hyperhidrosis palmaris ET plantaris"	"OMIM:144110"
<http://purl.obolibrary.org/obo/MONDO_0007754>	"HYPRPP"	"hyperhidrosis palmaris ET plantaris"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0007332>	"SHFLD1"	"split-hand/foot malformation with long bone deficiency 1"	"OMIM:119100"
<http://purl.obolibrary.org/obo/MONDO_0007332>	"SHFLD1"	"split-hand/foot malformation with long bone deficiency 1"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0007332>	"SHFLD1"	"split-hand/foot malformation with long bone deficiency 1"	"MESH:C536425"
<http://purl.obolibrary.org/obo/MONDO_0012697>	"OTSC7"	"otosclerosis 7"	"OMIM:611572"
<http://purl.obolibrary.org/obo/MONDO_0012697>	"OTSC7"	"otosclerosis 7"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012285>	"LVNC2"	"left ventricular noncompaction 2"	"OMIM:609470"
<http://purl.obolibrary.org/obo/MONDO_0012285>	"LVNC2"	"left ventricular noncompaction 2"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013493>	"ACACAD"	"ACETYL-CoA carboxylase deficiency"	"OMIM:613933"
<http://purl.obolibrary.org/obo/MONDO_0013493>	"ACACAD"	"ACETYL-CoA carboxylase deficiency"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011175>	"FRDA2"	"Friedreich ataxia 2"	"OMIM:601992"
<http://purl.obolibrary.org/obo/MONDO_0011175>	"FRDA2"	"Friedreich ataxia 2"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011586>	"OTSC2"	"otosclerosis 2"	"OMIM:605727"
<http://purl.obolibrary.org/obo/MONDO_0011586>	"OTSC2"	"otosclerosis 2"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013089>	"SCZD13"	"schizophrenia 13"	"OMIM:613025"
<http://purl.obolibrary.org/obo/MONDO_0013089>	"SCZD13"	"schizophrenia 13"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012645>	"GLC1N"	"glaucoma 1, open angle, N"	"OMIM:611274"
<http://purl.obolibrary.org/obo/MONDO_0012645>	"GLC1N"	"glaucoma 1, open angle, N"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011231>	"FEB2"	"febrile seizures, familial, 2"	"OMIM:602477"
<http://purl.obolibrary.org/obo/MONDO_0011231>	"FEB2"	"febrile seizures, familial, 2"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010260>	"ACLLX"	"arthrogryposis, congenital, LOWER limb, X-linked"	"OMIM:300158"
<http://purl.obolibrary.org/obo/MONDO_0010260>	"ACLLX"	"arthrogryposis, congenital, LOWER limb, X-linked"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013260>	"EOE2"	"esophagitis, eosinophilic, 2"	"OMIM:613412"
<http://purl.obolibrary.org/obo/MONDO_0013260>	"EOE2"	"esophagitis, eosinophilic, 2"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012646>	"GLC1H"	"glaucoma 1, open angle, H"	"OMIM:611276"
<http://purl.obolibrary.org/obo/MONDO_0012646>	"GLC1H"	"glaucoma 1, open angle, H"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011990>	"BFNS3"	"seizures, benign familial neonatal, 3"	"OMIM:608217"
<http://purl.obolibrary.org/obo/MONDO_0011990>	"BFNS3"	"seizures, benign familial neonatal, 3"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010074>	"BCYM1B"	"brachyolmia type 1, Toledo type"	"OMIM:271630"
<http://purl.obolibrary.org/obo/MONDO_0010074>	"BCYM1B"	"brachyolmia type 1, Toledo type"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012340>	"CELIAC2"	"celiac disease, susceptibility to, 2"	"OMIM:609754"
<http://purl.obolibrary.org/obo/MONDO_0012340>	"CELIAC2"	"celiac disease, susceptibility to, 2"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013703>	"MRT33"	"intellectual disability, autosomal recessive 33"	"OMIM:614341"
<http://purl.obolibrary.org/obo/MONDO_0013703>	"MRT33"	"intellectual disability, autosomal recessive 33"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012583>	"STHAG5"	"tooth agenesis, selective, 5"	"OMIM:610926"
<http://purl.obolibrary.org/obo/MONDO_0012583>	"STHAG5"	"tooth agenesis, selective, 5"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012959>	"PSORS11"	"psoriasis 11, susceptibility to"	"OMIM:612599"
<http://purl.obolibrary.org/obo/MONDO_0012959>	"PSORS11"	"psoriasis 11, susceptibility to"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012653>	"PHPVAD"	"persistent hyperplastic primary vitreous, autosomal dominant"	"OMIM:611308"
<http://purl.obolibrary.org/obo/MONDO_0012653>	"PHPVAD"	"persistent hyperplastic primary vitreous, autosomal dominant"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011542>	"PSORS6"	"psoriasis 6, susceptibility to"	"OMIM:605364"
<http://purl.obolibrary.org/obo/MONDO_0011542>	"PSORS6"	"psoriasis 6, susceptibility to"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011434>	"PSORS5"	"psoriasis 5, susceptibility to"	"OMIM:604316"
<http://purl.obolibrary.org/obo/MONDO_0011434>	"PSORS5"	"psoriasis 5, susceptibility to"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013213>	"CIHL"	"hearing loss, cisplatin-induced, susceptibility to"	"OMIM:613290"
<http://purl.obolibrary.org/obo/MONDO_0013213>	"CIHL"	"hearing loss, cisplatin-induced, susceptibility to"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0014161>	"VUR7"	"vesicoureteral reflux 7"	"OMIM:615390"
<http://purl.obolibrary.org/obo/MONDO_0014161>	"VUR7"	"vesicoureteral reflux 7"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0007559>	"PPR1"	"photoparoxysmal response 1"	"OMIM:132100"
<http://purl.obolibrary.org/obo/MONDO_0007559>	"PPR1"	"photoparoxysmal response 1"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010300>	"MRX53"	"intellectual disability, X-linked 53"	"OMIM:300324"
<http://purl.obolibrary.org/obo/MONDO_0010300>	"MRX53"	"intellectual disability, X-linked 53"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010352>	"MRX82"	"mental retardation, X-linked 82"	"OMIM:300518"
<http://purl.obolibrary.org/obo/MONDO_0010352>	"MRX82"	"mental retardation, X-linked 82"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012788>	"CHDS9"	"coronary heart disease, susceptibility to, 9"	"OMIM:612030"
<http://purl.obolibrary.org/obo/MONDO_0012788>	"CHDS9"	"coronary heart disease, susceptibility to, 9"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0009649>	"MYMY1"	"Moyamoya disease 1"	"OMIM:252350"
<http://purl.obolibrary.org/obo/MONDO_0009649>	"MYMY1"	"Moyamoya disease 1"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013100>	"ATFB8"	"atrial fibrillation, familial, 8"	"OMIM:613055"
<http://purl.obolibrary.org/obo/MONDO_0013100>	"ATFB8"	"atrial fibrillation, familial, 8"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013322>	"FAME3"	"epilepsy, familial ADULT myoclonic, 3"	"OMIM:613608"
<http://purl.obolibrary.org/obo/MONDO_0013322>	"FAME3"	"epilepsy, familial ADULT myoclonic, 3"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012082>	"ASPG1"	"ASPERGER syndrome, susceptibility to, 1"	"OMIM:608638"
<http://purl.obolibrary.org/obo/MONDO_0012082>	"ASPG1"	"ASPERGER syndrome, susceptibility to, 1"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013095>	"GLM6"	"glioma susceptibility 6"	"OMIM:613031"
<http://purl.obolibrary.org/obo/MONDO_0013095>	"GLM6"	"glioma susceptibility 6"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010307>	"MRX73"	"intellectual disability, X-linked 73"	"OMIM:300355"
<http://purl.obolibrary.org/obo/MONDO_0010307>	"MRX73"	"intellectual disability, X-linked 73"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0008290>	"POROK1"	"porokeratosis 1, MIBELLI type"	"OMIM:175800"
<http://purl.obolibrary.org/obo/MONDO_0008290>	"POROK1"	"porokeratosis 1, MIBELLI type"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012770>	"HPC15"	"prostate cancer, hereditary, 15"	"OMIM:611959"
<http://purl.obolibrary.org/obo/MONDO_0012770>	"HPC15"	"prostate cancer, hereditary, 15"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010454>	"MRX88"	"mental retardation, X-linked 88"	"OMIM:300852"
<http://purl.obolibrary.org/obo/MONDO_0010454>	"MRX88"	"mental retardation, X-linked 88"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011556>	"BCC1"	"basal cell carcinoma, susceptibility to, 1"	"OMIM:605462"
<http://purl.obolibrary.org/obo/MONDO_0011556>	"BCC1"	"basal cell carcinoma, susceptibility to, 1"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010369>	"NYS5"	"NYSTAGMUS 5, congenital, X-linked"	"OMIM:300589"
<http://purl.obolibrary.org/obo/MONDO_0010369>	"NYS5"	"NYSTAGMUS 5, congenital, X-linked"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010300>	"MRX53"	"mental retardation, X-linked 53"	"OMIM:300324"
<http://purl.obolibrary.org/obo/MONDO_0010300>	"MRX53"	"mental retardation, X-linked 53"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013205>	"FECD5"	"corneal dystrophy, Fuchs endothelial, 5"	"OMIM:613269"
<http://purl.obolibrary.org/obo/MONDO_0013205>	"FECD5"	"corneal dystrophy, Fuchs endothelial, 5"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012167>	"ATFB2"	"atrial fibrillation, familial, 2"	"OMIM:608988"
<http://purl.obolibrary.org/obo/MONDO_0012167>	"ATFB2"	"atrial fibrillation, familial, 2"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010236>	"MRX14"	"mental retardation, X-linked 14"	"OMIM:300062"
<http://purl.obolibrary.org/obo/MONDO_0010236>	"MRX14"	"mental retardation, X-linked 14"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012378>	"GINGF3"	"fibromatosis, gingival, 3"	"OMIM:609955"
<http://purl.obolibrary.org/obo/MONDO_0012378>	"GINGF3"	"fibromatosis, gingival, 3"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010834>	"HSCR5"	"Hirschsprung disease, susceptibility to, 5"	"OMIM:600156"
<http://purl.obolibrary.org/obo/MONDO_0010834>	"HSCR5"	"Hirschsprung disease, susceptibility to, 5"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013629>	"MRT16"	"mental retardation, autosomal recessive 16"	"OMIM:614208"
<http://purl.obolibrary.org/obo/MONDO_0013629>	"MRT16"	"mental retardation, autosomal recessive 16"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013105>	"BCC5"	"basal cell carcinoma, susceptibility to, 5"	"OMIM:613062"
<http://purl.obolibrary.org/obo/MONDO_0013105>	"BCC5"	"basal cell carcinoma, susceptibility to, 5"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011554>	"DFNM1"	"deafness, nonsyndromic, modifier 1"	"OMIM:605429"
<http://purl.obolibrary.org/obo/MONDO_0011554>	"DFNM1"	"deafness, nonsyndromic, modifier 1"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011742>	"HSCR7"	"Hirschsprung disease, susceptibility to, 7"	"OMIM:606875"
<http://purl.obolibrary.org/obo/MONDO_0011742>	"HSCR7"	"Hirschsprung disease, susceptibility to, 7"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010872>	"PDDP"	"parotid salivary glands, polycystic dysgenetic disease OF"	"OMIM:600343"
<http://purl.obolibrary.org/obo/MONDO_0010872>	"PDDP"	"parotid salivary glands, polycystic dysgenetic disease OF"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010236>	"MRX14"	"intellectual disability, X-linked 14"	"OMIM:300062"
<http://purl.obolibrary.org/obo/MONDO_0010236>	"MRX14"	"intellectual disability, X-linked 14"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010352>	"MRX82"	"intellectual disability, X-linked 82"	"OMIM:300518"
<http://purl.obolibrary.org/obo/MONDO_0010352>	"MRX82"	"intellectual disability, X-linked 82"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011954>	"CMM4"	"melanoma, cutaneous malignant, susceptibility to, 4"	"OMIM:608035"
<http://purl.obolibrary.org/obo/MONDO_0011954>	"CMM4"	"melanoma, cutaneous malignant, susceptibility to, 4"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013094>	"GLM5"	"glioma susceptibility 5"	"OMIM:613030"
<http://purl.obolibrary.org/obo/MONDO_0013094>	"GLM5"	"glioma susceptibility 5"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012469>	"MYP14"	"myopia 14"	"OMIM:610320"
<http://purl.obolibrary.org/obo/MONDO_0012469>	"MYP14"	"myopia 14"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012949>	"ANIB9"	"aneurysm, intracranial BERRY, 9"	"OMIM:612586"
<http://purl.obolibrary.org/obo/MONDO_0012949>	"ANIB9"	"aneurysm, intracranial BERRY, 9"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012021>	"MYP17"	"myopia 17, autosomal dominant"	"OMIM:608367"
<http://purl.obolibrary.org/obo/MONDO_0012021>	"MYP17"	"myopia 17, autosomal dominant"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013908>	"TTPP3"	"thyrotoxic periodic paralysis, susceptibility to, 3"	"OMIM:614834"
<http://purl.obolibrary.org/obo/MONDO_0013908>	"TTPP3"	"thyrotoxic periodic paralysis, susceptibility to, 3"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0007367>	"FEB1"	"febrile seizures, familial, 1"	"OMIM:121210"
<http://purl.obolibrary.org/obo/MONDO_0007367>	"FEB1"	"febrile seizures, familial, 1"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013705>	"MRT19"	"mental retardation, autosomal recessive 19"	"OMIM:614343"
<http://purl.obolibrary.org/obo/MONDO_0013705>	"MRT19"	"mental retardation, autosomal recessive 19"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012710>	"HSCR9"	"Hirschsprung disease, susceptibility to, 9"	"OMIM:611644"
<http://purl.obolibrary.org/obo/MONDO_0012710>	"HSCR9"	"Hirschsprung disease, susceptibility to, 9"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013084>	"NBLST4"	"neuroblastoma, susceptibility to, 4"	"OMIM:613015"
<http://purl.obolibrary.org/obo/MONDO_0013084>	"NBLST4"	"neuroblastoma, susceptibility to, 4"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013321>	"FWS"	"FORSYTHE-WAKELING syndrome"	"OMIM:613606"
<http://purl.obolibrary.org/obo/MONDO_0013321>	"FWS"	"FORSYTHE-WAKELING syndrome"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013104>	"BCC4"	"basal cell carcinoma, susceptibility to, 4"	"OMIM:613061"
<http://purl.obolibrary.org/obo/MONDO_0013104>	"BCC4"	"basal cell carcinoma, susceptibility to, 4"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012578>	"AUTS13"	"autism, susceptibility to, 13"	"OMIM:610908"
<http://purl.obolibrary.org/obo/MONDO_0012578>	"AUTS13"	"autism, susceptibility to, 13"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012377>	"ASPG4"	"ASPERGER syndrome, susceptibility to, 4"	"OMIM:609954"
<http://purl.obolibrary.org/obo/MONDO_0012377>	"ASPG4"	"ASPERGER syndrome, susceptibility to, 4"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011491>	"EIG7"	"epilepsy, idiopathic generalized, susceptibility to, 7"	"OMIM:604827"
<http://purl.obolibrary.org/obo/MONDO_0011491>	"EIG7"	"epilepsy, idiopathic generalized, susceptibility to, 7"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012899>	"AGA3"	"alopecia, androgenetic, 3"	"OMIM:612421"
<http://purl.obolibrary.org/obo/MONDO_0012899>	"AGA3"	"alopecia, androgenetic, 3"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010410>	"AGA2"	"alopecia, androgenetic, 2"	"OMIM:300710"
<http://purl.obolibrary.org/obo/MONDO_0010410>	"AGA2"	"alopecia, androgenetic, 2"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011793>	"CELIAC5"	"celiac disease, susceptibility to, 5"	"OMIM:607202"
<http://purl.obolibrary.org/obo/MONDO_0011793>	"CELIAC5"	"celiac disease, susceptibility to, 5"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010322>	"MRX2"	"mental retardation, X-linked 2"	"OMIM:300428"
<http://purl.obolibrary.org/obo/MONDO_0010322>	"MRX2"	"mental retardation, X-linked 2"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012194>	"ANIB3"	"aneurysm, intracranial BERRY, 3"	"OMIM:609122"
<http://purl.obolibrary.org/obo/MONDO_0012194>	"ANIB3"	"aneurysm, intracranial BERRY, 3"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011294>	"SCZD5"	"schizophrenia 5"	"OMIM:603175"
<http://purl.obolibrary.org/obo/MONDO_0011294>	"SCZD5"	"schizophrenia 5"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011592>	"EVR3"	"exudative vitreoretinopathy 3"	"OMIM:605750"
<http://purl.obolibrary.org/obo/MONDO_0011592>	"EVR3"	"exudative vitreoretinopathy 3"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012702>	"CELIAC6"	"celiac disease, susceptibility to, 6"	"OMIM:611598"
<http://purl.obolibrary.org/obo/MONDO_0012702>	"CELIAC6"	"celiac disease, susceptibility to, 6"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011737>	"PARK10"	"Parkinson disease 10"	"OMIM:606852"
<http://purl.obolibrary.org/obo/MONDO_0011737>	"PARK10"	"Parkinson disease 10"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013830>	"KTCN5"	"keratoconus 5"	"OMIM:614622"
<http://purl.obolibrary.org/obo/MONDO_0013830>	"KTCN5"	"keratoconus 5"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012428>	"KYPSC1"	"kyphoscoliosis 1"	"OMIM:610170"
<http://purl.obolibrary.org/obo/MONDO_0012428>	"KYPSC1"	"kyphoscoliosis 1"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010453>	"MRX92"	"mental retardation, X-linked 92"	"OMIM:300851"
<http://purl.obolibrary.org/obo/MONDO_0010453>	"MRX92"	"mental retardation, X-linked 92"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0008414>	"SCZD1"	"schizophrenia 1"	"OMIM:181510"
<http://purl.obolibrary.org/obo/MONDO_0008414>	"SCZD1"	"schizophrenia 1"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012042>	"HSCR8"	"Hirschsprung disease, susceptibility to, 8"	"OMIM:608462"
<http://purl.obolibrary.org/obo/MONDO_0012042>	"HSCR8"	"Hirschsprung disease, susceptibility to, 8"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010329>	"MRX77"	"mental retardation, X-linked 77"	"OMIM:300454"
<http://purl.obolibrary.org/obo/MONDO_0010329>	"MRX77"	"mental retardation, X-linked 77"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0008653>	"VUR1"	"vesicoureteral reflux 1"	"OMIM:193000"
<http://purl.obolibrary.org/obo/MONDO_0008653>	"VUR1"	"vesicoureteral reflux 1"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0010309>	"MRX42"	"intellectual disability, X-linked 42"	"OMIM:300372"
<http://purl.obolibrary.org/obo/MONDO_0010309>	"MRX42"	"intellectual disability, X-linked 42"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012261>	"AUTS6"	"autism, susceptibility to, 6"	"OMIM:609378"
<http://purl.obolibrary.org/obo/MONDO_0012261>	"AUTS6"	"autism, susceptibility to, 6"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013903>	"NYS7"	"NYSTAGMUS 7, congenital, autosomal dominant"	"OMIM:614826"
<http://purl.obolibrary.org/obo/MONDO_0013903>	"NYS7"	"NYSTAGMUS 7, congenital, autosomal dominant"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0013980>	"PPKP1B"	"palmoplantar keratoderma, punctate type IB"	"OMIM:614936"
<http://purl.obolibrary.org/obo/MONDO_0013980>	"PPKP1B"	"palmoplantar keratoderma, punctate type IB"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0007161>	"SPGF2"	"spermatogenic failure 2"	"OMIM:108420"
<http://purl.obolibrary.org/obo/MONDO_0007161>	"SPGF2"	"spermatogenic failure 2"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012218>	"ADDWOC"	"Dandy-Walker malformation with occipital cephalocele, autosomal dominant"	"OMIM:609222"
<http://purl.obolibrary.org/obo/MONDO_0012218>	"ADDWOC"	"Dandy-Walker malformation with occipital cephalocele, autosomal dominant"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0011931>	"OVCAS1"	"ovarian cancer, susceptibility to, 1"	"OMIM:607893"
<http://purl.obolibrary.org/obo/MONDO_0011931>	"OVCAS1"	"ovarian cancer, susceptibility to, 1"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012623>	"MRT4"	"mental retardation, autosomal recessive 4"	"OMIM:611107"
<http://purl.obolibrary.org/obo/MONDO_0012623>	"MRT4"	"mental retardation, autosomal recessive 4"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0012965>	"BFIS4"	"seizures, benign familial infantile, 4"	"OMIM:612627"
<http://purl.obolibrary.org/obo/MONDO_0012965>	"BFIS4"	"seizures, benign familial infantile, 4"	"MONDO:Lexical"
<http://purl.obolibrary.org/obo/MONDO_0014264>	"OTSC10"	"otosclerosis 10"	"OMIM:615589"
<http://purl.obolibrary.org/obo/MONDO_0014264>	"OTSC10"	"otosclerosis 10"	"MONDO:Lexical"
