?cls	?clsLabel	?numSuperCls
<http://purl.obolibrary.org/obo/MONDO_0000743>	"oral hairy leukoplakia"	2
<http://purl.obolibrary.org/obo/MONDO_0013516>	"retinitis pigmentosa 60"	1
<http://purl.obolibrary.org/obo/MONDO_0006262>	"lacrimal gland adenoid cystic carcinoma"	2
<http://purl.obolibrary.org/obo/MONDO_0017706>	"disorder of carbohydrate absorption and transport"	1
<http://purl.obolibrary.org/obo/MONDO_0006701>	"chromophobe adenoma"	1
<http://purl.obolibrary.org/obo/MONDO_0000965>	"liver lipoma"	3
<http://purl.obolibrary.org/obo/MONDO_0007380>	"lattice corneal dystrophy type I"	1
<http://purl.obolibrary.org/obo/MONDO_0002705>	"breast mucinous cystadenocarcinoma"	2
<http://purl.obolibrary.org/obo/MONDO_0018344>	"periodic paralysis with transient compartment-like syndrome"	2
<http://purl.obolibrary.org/obo/MONDO_0005844>	"chalazion"	1
<http://purl.obolibrary.org/obo/MONDO_0004716>	"stomach carcinoma in situ"	2
<http://purl.obolibrary.org/obo/MONDO_0017986>	"disorder of plasmalogens biosynthesis"	2
<http://purl.obolibrary.org/obo/MONDO_0003841>	"heart lipoma"	2
<http://purl.obolibrary.org/obo/MONDO_0018593>	"primary polyarteritis nodosa"	1
<http://purl.obolibrary.org/obo/MONDO_0001744>	"angle-closure glaucoma"	1
<http://purl.obolibrary.org/obo/MONDO_0020419>	"pulmonary artery hypoplasia (disease)"	1
<http://purl.obolibrary.org/obo/MONDO_0012972>	"FEB10"	1
<http://purl.obolibrary.org/obo/MONDO_0017812>	"segmental progressive overgrowth syndrome with fibroadipose hyperplasia"	1
<http://purl.obolibrary.org/obo/MONDO_0019571>	"autosomal dominant cutis laxa"	2
<http://purl.obolibrary.org/obo/MONDO_0019779>	"Renier-Gabreels-Jasper syndrome"	1
<http://purl.obolibrary.org/obo/MONDO_0019765>	"Celosomia"	2
<http://purl.obolibrary.org/obo/MONDO_0009962>	"Senior-Loken syndrome 1"	1
<http://purl.obolibrary.org/obo/MONDO_0005308>	"ciliopathy"	2
<http://purl.obolibrary.org/obo/MONDO_0012434>	"arrhythmogenic right ventricular dysplasia 10"	3
<http://purl.obolibrary.org/obo/MONDO_0018139>	"scleredema"	1
<http://purl.obolibrary.org/obo/MONDO_0018075>	"neural tube defect"	3
<http://purl.obolibrary.org/obo/MONDO_0016142>	"qualitative or quantitative defects of beta-sarcoglycan"	1
<http://purl.obolibrary.org/obo/MONDO_0009445>	"ichthyosis-hepatosplenomegaly-cerebellar degeneration syndrome"	6
<http://purl.obolibrary.org/obo/MONDO_0008054>	"juvenile dermatomyositis"	3
<http://purl.obolibrary.org/obo/MONDO_0007434>	"primary failure of tooth eruption"	3
<http://purl.obolibrary.org/obo/MONDO_0013706>	"MRT23"	1
<http://purl.obolibrary.org/obo/MONDO_0024432>	"nerve plexus disease"	1
<http://purl.obolibrary.org/obo/MONDO_0003523>	"gastrin-producing neuroendocrine tumor"	1
<http://purl.obolibrary.org/obo/MONDO_0022863>	"corneal crystals myopathy neuropathy"	1
<http://purl.obolibrary.org/obo/MONDO_0009337>	"Hennekam lymphangiectasia-lymphedema syndrome 1"	1
<http://purl.obolibrary.org/obo/MONDO_0010399>	"chromosome Xp21 deletion syndrome"	4
<http://purl.obolibrary.org/obo/MONDO_0015422>	"orofaciodigital syndrome type 13"	1
<http://purl.obolibrary.org/obo/MONDO_0019893>	"distal monosomy 19p13.3"	1
<http://purl.obolibrary.org/obo/MONDO_0012263>	"AIS4"	1
<http://purl.obolibrary.org/obo/MONDO_0015421>	"orofaciodigital syndrome type 12"	1
<http://purl.obolibrary.org/obo/MONDO_0004949>	"neoplasm of mature B-cells"	1
<http://purl.obolibrary.org/obo/MONDO_0021078>	"glandular papilloma"	2
<http://purl.obolibrary.org/obo/MONDO_0001709>	"hypercalcemic sarcoidosis"	1
<http://purl.obolibrary.org/obo/MONDO_0010779>	"mitochondrial non-syndromic sensorineural deafness"	5
<http://purl.obolibrary.org/obo/MONDO_0012090>	"autosomal dominant nonsyndromic deafness 47"	1
<http://purl.obolibrary.org/obo/MONDO_0010428>	"chromosome Xp11.23-p11.22 duplication syndrome"	6
<http://purl.obolibrary.org/obo/MONDO_0025066>	"epidermitis, exudative, of swine"	1
<http://purl.obolibrary.org/obo/MONDO_0043089>	"acute posterior multifocal placoid pigment epitheliopathy"	1
<http://purl.obolibrary.org/obo/MONDO_0010920>	"microtia"	1
<http://purl.obolibrary.org/obo/MONDO_0007878>	"congenital laryngomalacia"	2
<http://purl.obolibrary.org/obo/MONDO_0020683>	"acute disease"	1
<http://purl.obolibrary.org/obo/MONDO_0008650>	"posterior fusion of lumbosacral vertebrae-blepharoptosis syndrome"	2
<http://purl.obolibrary.org/obo/MONDO_0003453>	"conjunctival intraepithelial neoplasm"	2
<http://purl.obolibrary.org/obo/MONDO_0005213>	"uterine carcinoma"	2
<http://purl.obolibrary.org/obo/MONDO_0010660>	"intellectual disability, X-linked 9"	1
<http://purl.obolibrary.org/obo/MONDO_0010705>	"ouabain resistance"	1
<http://purl.obolibrary.org/obo/MONDO_0016954>	"partial duplication of the long arm of chromosome 3"	1
<http://purl.obolibrary.org/obo/MONDO_0016958>	"partial duplication of the long arm of chromosome 7"	1
<http://purl.obolibrary.org/obo/MONDO_0001719>	"gonococcal bursitis"	2
<http://purl.obolibrary.org/obo/MONDO_0002162>	"fallopian tube adenosarcoma"	2
<http://purl.obolibrary.org/obo/MONDO_0002535>	"verrucous papilloma"	1
<http://purl.obolibrary.org/obo/MONDO_0017967>	"testicular agenesis"	2
<http://purl.obolibrary.org/obo/MONDO_0017640>	"cyanide-induced parkinsonism"	2
<http://purl.obolibrary.org/obo/MONDO_0004080>	"glottis squamous cell carcinoma"	2
<http://purl.obolibrary.org/obo/MONDO_0007824>	"incisors, lower central, absence of"	1
<http://purl.obolibrary.org/obo/MONDO_0017931>	"hereditary inclusion body myopathy type 4"	1
<http://purl.obolibrary.org/obo/MONDO_0011415>	"Leber congenital amaurosis 3"	1
<http://purl.obolibrary.org/obo/MONDO_0001203>	"prolapse of lacrimal gland"	1
<http://purl.obolibrary.org/obo/MONDO_0016097>	"symptomatic form of muscular dystrophy of Duchenne and Becker in female carriers"	2
<http://purl.obolibrary.org/obo/MONDO_0021260>	"sensory ganglionopathy"	1
<http://purl.obolibrary.org/obo/MONDO_0007644>	"IgAD1"	3
<http://purl.obolibrary.org/obo/MONDO_0013709>	"MRT28"	1
<http://purl.obolibrary.org/obo/MONDO_0012185>	"spondylometaphyseal dysplasia, A4 type"	1
<http://purl.obolibrary.org/obo/MONDO_0006061>	"cervical artery dissection"	2
<http://purl.obolibrary.org/obo/MONDO_0004372>	"chronic toxic polyneuropathy"	1
<http://purl.obolibrary.org/obo/MONDO_0013400>	"congenital adrenal insufficiency"	3
<http://purl.obolibrary.org/obo/MONDO_0017944>	"invasive non-typhoidal salmonellosis"	1
<http://purl.obolibrary.org/obo/MONDO_0013407>	"retinitis pigmentosa 47"	1
<http://purl.obolibrary.org/obo/MONDO_0014679>	"polymicrogyria, perisylvian, with cerebellar hypoplasia and arthrogryposis"	1
<http://purl.obolibrary.org/obo/MONDO_0006939>	"pyelonephritis"	3
<http://purl.obolibrary.org/obo/MONDO_0011133>	"deaf blind hypopigmentation syndrome, Yemenite type"	3
<http://purl.obolibrary.org/obo/MONDO_0017461>	"familial isolated clinodactyly of fingers"	1
<http://purl.obolibrary.org/obo/MONDO_0036696>	"spleen neoplasm"	3
<http://purl.obolibrary.org/obo/MONDO_0021394>	"polyp of vagina"	2
<http://purl.obolibrary.org/obo/MONDO_0019251>	"oligosaccharidosis"	3
<http://purl.obolibrary.org/obo/MONDO_0011009>	"muscular dystrophy, congenital, with severe central nervous system atrophy and absence of large myelinated fibers"	1
<http://purl.obolibrary.org/obo/MONDO_0008284>	"polyposis of gastric fundus without polyposis coli"	2
<http://purl.obolibrary.org/obo/MONDO_0003383>	"fallopian tube clear cell adenocarcinoma"	2
<http://purl.obolibrary.org/obo/MONDO_0018669>	"snakebite envenomation"	1
<http://purl.obolibrary.org/obo/MONDO_0016953>	"partial duplication of the long arm of chromosome 2"	1
<http://purl.obolibrary.org/obo/MONDO_0015878>	"rare disease with autism"	1
<http://purl.obolibrary.org/obo/MONDO_0016955>	"partial duplication of the long arm of chromosome 4"	2
<http://purl.obolibrary.org/obo/MONDO_0016957>	"partial duplication of the long arm of chromosome 6"	1
<http://purl.obolibrary.org/obo/MONDO_0016959>	"partial duplication of the long arm of chromosome 8"	1
<http://purl.obolibrary.org/obo/MONDO_0009032>	"cranioectodermal dysplasia"	6
<http://purl.obolibrary.org/obo/MONDO_0014282>	"hereditary spastic paraplegia 72"	1
<http://purl.obolibrary.org/obo/MONDO_0017667>	"isolated diffuse palmoplantar keratoderma"	1
<http://purl.obolibrary.org/obo/MONDO_0004565>	"intestinal obstruction"	1
<http://purl.obolibrary.org/obo/MONDO_0017152>	"pulmonary arterial hypertension associated with congenital heart disease"	1
<http://purl.obolibrary.org/obo/MONDO_0021524>	"benign neoplasm of buccal mucosa"	2
<http://purl.obolibrary.org/obo/MONDO_0001404>	"ecthyma"	1
<http://purl.obolibrary.org/obo/MONDO_0005731>	"dipetalonemiasis"	2
<http://purl.obolibrary.org/obo/MONDO_0001283>	"endosalpingiosis"	1
<http://purl.obolibrary.org/obo/MONDO_0001632>	"intracranial arteriosclerosis"	1
<http://purl.obolibrary.org/obo/MONDO_0003355>	"ovary leiomyosarcoma"	2
<http://purl.obolibrary.org/obo/MONDO_0012311>	"spondylomegaepiphyseal dysplasia with upper limb mesomelia, punctate calcifications, and deafness"	1
<http://purl.obolibrary.org/obo/MONDO_0007052>	"growth hormone secreting pituitary adenoma 1"	1
<http://purl.obolibrary.org/obo/MONDO_0012119>	"ASPG3"	4
<http://purl.obolibrary.org/obo/MONDO_0004817>	"non-secretory plasma cell myeloma"	1
<http://purl.obolibrary.org/obo/MONDO_0008292>	"punctate palmoplantar keratoderma type 2"	1
<http://purl.obolibrary.org/obo/MONDO_0013708>	"MRT25"	1
<http://purl.obolibrary.org/obo/MONDO_0011263>	"skeletal dysplasia and progressive central nervous system degeneration, lethal"	1
<http://purl.obolibrary.org/obo/MONDO_0011712>	"van der Woude syndrome 2"	1
<http://purl.obolibrary.org/obo/MONDO_0008392>	"Roussy-Levy syndrome"	2
<http://purl.obolibrary.org/obo/MONDO_0013707>	"MRT24"	1
<http://purl.obolibrary.org/obo/MONDO_0012523>	"retinitis pigmentosa 36"	1
<http://purl.obolibrary.org/obo/MONDO_0015012>	"mucopolysaccharidosis-like syndrome with congenital heart defects and hematopoietic disorders"	7
<http://purl.obolibrary.org/obo/MONDO_0037738>	"cauda equina cancer"	2
<http://purl.obolibrary.org/obo/MONDO_0013405>	"retinitis pigmentosa 49"	1
<http://purl.obolibrary.org/obo/MONDO_0002265>	"stereotypic movement disorder"	1
<http://purl.obolibrary.org/obo/MONDO_0000728>	"ptosis (disease)"	1
<http://purl.obolibrary.org/obo/MONDO_0017770>	"Robinow-like syndrome"	1
<http://purl.obolibrary.org/obo/MONDO_0023072>	"envenomization by Bothrops lanceolatus"	1
<http://purl.obolibrary.org/obo/MONDO_0019500>	"extragonadal teratoma"	1
<http://purl.obolibrary.org/obo/MONDO_0014198>	"mitochondrial DNA depletion syndrome 13"	1
<http://purl.obolibrary.org/obo/MONDO_0013837>	"deafness-encephaloneuropathy-obesity-valvulopathy syndrome"	1
<http://purl.obolibrary.org/obo/MONDO_0015974>	"severe combined immunodeficiency (disease)"	1
<http://purl.obolibrary.org/obo/MONDO_0001272>	"functional diarrhea"	1
<http://purl.obolibrary.org/obo/MONDO_0006988>	"sulfhemoglobinemia"	2
<http://purl.obolibrary.org/obo/MONDO_0006506>	"congenital nonspherocytic hemolytic anemia"	1
<http://purl.obolibrary.org/obo/MONDO_0004319>	"hypercalcemic type ovarian small cell carcinoma"	1
<http://purl.obolibrary.org/obo/MONDO_0008781>	"juvenile amyotrophic lateral sclerosis with dementia"	1
<http://purl.obolibrary.org/obo/MONDO_0025385>	"bluetongue"	2
<http://purl.obolibrary.org/obo/MONDO_0003243>	"hepatocellular clear cell carcinoma"	2
<http://purl.obolibrary.org/obo/MONDO_0002274>	"monoclonal paraproteinemia disease"	3
<http://purl.obolibrary.org/obo/MONDO_0019102>	"dentinogenesis imperfecta-short stature-hearing loss-intellectual disability syndrome"	2
<http://purl.obolibrary.org/obo/MONDO_0011270>	"prostate cancer, hereditary, 8"	1
<http://purl.obolibrary.org/obo/MONDO_0005895>	"paragonimiasis"	1
<http://purl.obolibrary.org/obo/MONDO_0024323>	"glomangiomyoma"	1
<http://purl.obolibrary.org/obo/MONDO_0021355>	"neoplasm of esophagus"	3
<http://purl.obolibrary.org/obo/MONDO_0049221>	"myopia 26, X-linked, female-limited"	1
<http://purl.obolibrary.org/obo/MONDO_0009782>	"ophthalmoplegia totalis with ptosis and miosis"	1
<http://purl.obolibrary.org/obo/MONDO_0020094>	"autosomal dominant disease with diffuse palmoplantar keratoderma as a major feature"	2
<http://purl.obolibrary.org/obo/MONDO_0019894>	"non-distal monosomy 7p"	1
<http://purl.obolibrary.org/obo/MONDO_0007499>	"ear folding"	1
<http://purl.obolibrary.org/obo/MONDO_0015811>	"primary cutaneous aggressive epidermotropic CD8+ T-cell lymphoma"	1
<http://purl.obolibrary.org/obo/MONDO_0017992>	"autoinflammatory syndrome with pyogenic bacterial infection and amylopectinosis"	2
<http://purl.obolibrary.org/obo/MONDO_0002875>	"parasitic ectoparasitic infectious disease"	1
<http://purl.obolibrary.org/obo/MONDO_0015385>	"external auditory canal aplasia/hypoplasia"	1
<http://purl.obolibrary.org/obo/MONDO_0021471>	"benign neoplasm of endometrium"	2
<http://purl.obolibrary.org/obo/MONDO_0054836>	"parkinsonism-dystonia, infantile, 2"	1
<http://purl.obolibrary.org/obo/MONDO_0002295>	"skin glomus tumor"	3
<http://purl.obolibrary.org/obo/MONDO_0006104>	"benign carotid body paraganglioma"	4
<http://purl.obolibrary.org/obo/MONDO_0006505>	"basal ganglia cerebrovascular disease"	2
<http://purl.obolibrary.org/obo/MONDO_0017147>	"idiopathic pulmonary arterial hypertension"	1
<http://purl.obolibrary.org/obo/MONDO_0002726>	"cutaneous solitary mastocytoma"	1
<http://purl.obolibrary.org/obo/MONDO_0005898>	"paronychia (disease)"	2
<http://purl.obolibrary.org/obo/MONDO_0020587>	"factor XI deficiency"	1
<http://purl.obolibrary.org/obo/MONDO_0024621>	"serous cystadenocarcinoma"	2
<http://purl.obolibrary.org/obo/MONDO_0008373>	"retinal arterial tortuosity (disease)"	1
<http://purl.obolibrary.org/obo/MONDO_0001000>	"mixed mineral dust pneumoconiosis"	1
<http://purl.obolibrary.org/obo/MONDO_0008118>	"odontomatosis-aortae esophagus stenosis syndrome"	2
<http://purl.obolibrary.org/obo/MONDO_0001672>	"bronchus cancer"	3
<http://purl.obolibrary.org/obo/MONDO_0009715>	"myotonia congenita, autosomal recessive"	4
<http://purl.obolibrary.org/obo/MONDO_0044956>	"paranasal sinus mucoepidermoid carcinoma"	2
<http://purl.obolibrary.org/obo/MONDO_0003095>	"laryngeal mucoepidermoid carcinoma"	2
<http://purl.obolibrary.org/obo/MONDO_0003948>	"cerebral hemangioma"	2
<http://purl.obolibrary.org/obo/MONDO_0020254>	"craniostenosis associated with a strabismus"	1
<http://purl.obolibrary.org/obo/MONDO_0020100>	"rare hemolytic anemia"	2
<http://purl.obolibrary.org/obo/MONDO_0020066>	"Ehlers-Danlos syndrome"	8
<http://purl.obolibrary.org/obo/MONDO_0001988>	"external pathological resorption"	1
<http://purl.obolibrary.org/obo/MONDO_0013211>	"dilated cardiomyopathy 1FF"	1
<http://purl.obolibrary.org/obo/MONDO_0014197>	"combined immunodeficiency due to MALT1 deficiency"	1
<http://purl.obolibrary.org/obo/MONDO_0019213>	"cerebral organic aciduria"	4
<http://purl.obolibrary.org/obo/MONDO_0054806>	"microcephaly 23, primary, autosomal recessive"	1
<http://purl.obolibrary.org/obo/MONDO_0003036>	"mucoepidermoid carcinoma"	2
<http://purl.obolibrary.org/obo/MONDO_0054700>	"proteasome-associated autoinflammatory syndrome 2"	1
<http://purl.obolibrary.org/obo/MONDO_0009373>	"seizures-intellectual disability due to hydroxylysinuria syndrome"	1
<http://purl.obolibrary.org/obo/MONDO_0007737>	"humeroradial synostosis (disease)"	2
<http://purl.obolibrary.org/obo/MONDO_0003553>	"ampulla of vater adenosquamous carcinoma"	2
<http://purl.obolibrary.org/obo/MONDO_0002467>	"inner ear disease"	2
<http://purl.obolibrary.org/obo/MONDO_0024556>	"epilepsy, familial focal, with variable foci 1"	1
<http://purl.obolibrary.org/obo/MONDO_0015797>	"UV-sensitive syndrome"	5
<http://purl.obolibrary.org/obo/MONDO_0019873>	"4p16.3 microduplication syndrome"	2
<http://purl.obolibrary.org/obo/MONDO_0004400>	"malignant type A thymoma"	1
<http://purl.obolibrary.org/obo/MONDO_0015026>	"cerebroretinal microangiopathy with calcifications and cysts 2;"	1
<http://purl.obolibrary.org/obo/MONDO_0021640>	"grade III glioma"	1
<http://purl.obolibrary.org/obo/MONDO_0010179>	"isolated right ventricular hypoplasia"	4
<http://purl.obolibrary.org/obo/MONDO_0016551>	"congenital primary megaureter, refluxing form"	1
<http://purl.obolibrary.org/obo/MONDO_0021918>	"arena syndrome"	1
<http://purl.obolibrary.org/obo/MONDO_0000382>	"respiratory system benign neoplasm"	2
<http://purl.obolibrary.org/obo/MONDO_0017858>	"acute erythroid leukemia"	1
<http://purl.obolibrary.org/obo/MONDO_0001113>	"Fiedler's myocarditis"	1
<http://purl.obolibrary.org/obo/MONDO_0014747>	"familial progressive retinal dystrophy-iris coloboma-congenital cataract syndrome"	4
<http://purl.obolibrary.org/obo/MONDO_0002405>	"hepatic vascular disease"	2
<http://purl.obolibrary.org/obo/MONDO_0029143>	"intellectual developmental disorder with hypertelorism and distinctive facies"	1
<http://purl.obolibrary.org/obo/MONDO_0020001>	"respiratory or thoracic malformation"	1
<http://purl.obolibrary.org/obo/MONDO_0001752>	"alveolar periostitis"	6
<http://purl.obolibrary.org/obo/MONDO_0005632>	"acute chest syndrome"	2
<http://purl.obolibrary.org/obo/MONDO_0010907>	"familial hypertryptophanemia"	1
<http://purl.obolibrary.org/obo/MONDO_0012282>	"Al-Gazali syndrome"	1
<http://purl.obolibrary.org/obo/MONDO_0007621>	"floating-Harbor syndrome"	4
<http://purl.obolibrary.org/obo/MONDO_0014722>	"Roifman syndrome"	5
<http://purl.obolibrary.org/obo/MONDO_0019078>	"Ritscher-Schinzel syndrome"	3
<http://purl.obolibrary.org/obo/MONDO_0017600>	"hairy cell leukemia variant"	1
<http://purl.obolibrary.org/obo/MONDO_0007148>	"appendicitis, proneness to"	1
<http://purl.obolibrary.org/obo/MONDO_0002714>	"central nervous system cancer"	2
<http://purl.obolibrary.org/obo/MONDO_0004358>	"subglottis carcinoma"	2
<http://purl.obolibrary.org/obo/MONDO_0012259>	"colloid cysts of third ventricle"	1
<http://purl.obolibrary.org/obo/MONDO_0018860>	"microlissencephaly-micromelia syndrome"	2
<http://purl.obolibrary.org/obo/MONDO_0002674>	"stricture or kinking of ureter"	1
<http://purl.obolibrary.org/obo/MONDO_0009957>	"Reese retinal dysplasia"	1
<http://purl.obolibrary.org/obo/MONDO_0007787>	"Ambras type hypertrichosis universalis congenita"	1
<http://purl.obolibrary.org/obo/MONDO_0013045>	"mycobacterium tuberculosis, susceptibility to, 3"	1
<http://purl.obolibrary.org/obo/MONDO_0015554>	"typical urticaria pigmentosa"	1
<http://purl.obolibrary.org/obo/MONDO_0005121>	"Enterococcus faecalis infection"	1
<http://purl.obolibrary.org/obo/MONDO_0003617>	"chronic salpingitis"	1
<http://purl.obolibrary.org/obo/MONDO_0021573>	"oocyte maturation defect 2"	1
<http://purl.obolibrary.org/obo/MONDO_0021575>	"oocyte maturation defect 4"	1
<http://purl.obolibrary.org/obo/MONDO_0021574>	"oocyte maturation defect 3"	1
<http://purl.obolibrary.org/obo/MONDO_0020144>	"cerebrovascular dementia"	1
<http://purl.obolibrary.org/obo/MONDO_0011896>	"Parkinson disease 11, autosomal dominant, susceptibility to"	1
<http://purl.obolibrary.org/obo/MONDO_0020402>	"congenital accessory mitral valve tissue"	1
<http://purl.obolibrary.org/obo/MONDO_0008754>	"alopecia - contractures - dwarfism - intellectual disability syndrome"	3
<http://purl.obolibrary.org/obo/MONDO_0002056>	"breast fibroadenoma"	2
<http://purl.obolibrary.org/obo/MONDO_0017885>	"chromophobe renal cell carcinoma"	1
<http://purl.obolibrary.org/obo/MONDO_0006838>	"lupus vulgaris"	1
<http://purl.obolibrary.org/obo/MONDO_0004494>	"testicular yolk sac tumor, hepatoid pattern"	1
<http://purl.obolibrary.org/obo/MONDO_0002221>	"urethral urothelial papilloma"	2
<http://purl.obolibrary.org/obo/MONDO_0015620>	"syndromic urogenital tract malformation"	4
<http://purl.obolibrary.org/obo/MONDO_0001867>	"phaeohyphomycosis"	1
<http://purl.obolibrary.org/obo/MONDO_0013808>	"Maffucci syndrome"	11
<http://purl.obolibrary.org/obo/MONDO_0016707>	"astroblastoma"	1
<http://purl.obolibrary.org/obo/MONDO_0003898>	"pediatric myxoid chondrosarcoma"	2
<http://purl.obolibrary.org/obo/MONDO_0006863>	"myxosarcoma"	1
<http://purl.obolibrary.org/obo/MONDO_0021653>	"cutaneous focal mucinosis"	1
<http://purl.obolibrary.org/obo/MONDO_0017405>	"1p21.3 microdeletion syndrome"	4
<http://purl.obolibrary.org/obo/MONDO_0011610>	"dimethylglycine dehydrogenase deficiency"	2
<http://purl.obolibrary.org/obo/MONDO_0007757>	"hyperkeratosis-hyperpigmentation syndrome"	2
<http://purl.obolibrary.org/obo/MONDO_0007433>	"dementia/parkinsonism with non-Alzheimer amyloid plaques"	1
<http://purl.obolibrary.org/obo/MONDO_0006360>	"penile carcinoma"	2
<http://purl.obolibrary.org/obo/MONDO_0002229>	"ovarian epithelial tumor"	2
<http://purl.obolibrary.org/obo/MONDO_0015170>	"congenital sodium diarrhea"	2
<http://purl.obolibrary.org/obo/MONDO_0014402>	"severe neurodegenerative syndrome with lipodystrophy"	2
<http://purl.obolibrary.org/obo/MONDO_0019132>	"spinal muscular atrophy-Dandy-Walker malformation-cataracts syndrome"	3
<http://purl.obolibrary.org/obo/MONDO_0015152>	"autosomal recessive limb-girdle muscular dystrophy"	3
<http://purl.obolibrary.org/obo/MONDO_0007555>	"epidermolysis bullosa simplex Ogna type"	1
<http://purl.obolibrary.org/obo/MONDO_0009965>	"Perlman syndrome"	3
<http://purl.obolibrary.org/obo/MONDO_0008626>	"ureter, bifid or double"	1
<http://purl.obolibrary.org/obo/MONDO_0002140>	"vagina sarcoma"	3
<http://purl.obolibrary.org/obo/MONDO_0013487>	"recurrent Neisseria infections due to factor D deficiency"	1
<http://purl.obolibrary.org/obo/MONDO_0010917>	"CCAL1"	1
<http://purl.obolibrary.org/obo/MONDO_0003702>	"uterus intravascular leiomyomatosis"	2
<http://purl.obolibrary.org/obo/MONDO_0006742>	"endemic goiter"	2
<http://purl.obolibrary.org/obo/MONDO_0014103>	"hypogonadotropic hypogonadism 18 with or without anosmia"	1
<http://purl.obolibrary.org/obo/MONDO_0018259>	"didymosis aplasticosebacea"	1
<http://purl.obolibrary.org/obo/MONDO_0036483>	"short-rib thoracic dysplasia 18 with polydactyly"	1
<http://purl.obolibrary.org/obo/MONDO_0011203>	"Pierre Robin sequence with pectus excavatum and rib and scapular anomalies"	1
<http://purl.obolibrary.org/obo/MONDO_0014559>	"progressive essential tremor-speech impairment-facial dysmorphism-intellectual disability-abnormal behavior syndrome"	2
<http://purl.obolibrary.org/obo/MONDO_0019582>	"self-healing papular mucinosis"	1
<http://purl.obolibrary.org/obo/MONDO_0023094>	"exogenous ochronosis"	1
<http://purl.obolibrary.org/obo/MONDO_0006642>	"alcohol withdrawal delirium"	2
<http://purl.obolibrary.org/obo/MONDO_0002558>	"melanotic neurilemmoma"	1
<http://purl.obolibrary.org/obo/MONDO_0003999>	"juvenile pilocytic astrocytoma"	1
<http://purl.obolibrary.org/obo/MONDO_0013703>	"MRT33"	1
<http://purl.obolibrary.org/obo/MONDO_0002963>	"acantholytic acanthoma"	1
<http://purl.obolibrary.org/obo/MONDO_0008382>	"retinoschisis, autosomal dominant"	3
<http://purl.obolibrary.org/obo/MONDO_0004621>	"upper lip cancer"	2
<http://purl.obolibrary.org/obo/MONDO_0013896>	"Joubert syndrome 18"	1
<http://purl.obolibrary.org/obo/MONDO_0011790>	"Amish lethal microcephaly"	3
<http://purl.obolibrary.org/obo/MONDO_0013839>	"hereditary sensory and autonomic neuropathy type 6"	1
<http://purl.obolibrary.org/obo/MONDO_0007749>	"autosomal recessive infantile hypercalcemia"	6
<http://purl.obolibrary.org/obo/MONDO_0012779>	"CELIAC10"	1
<http://purl.obolibrary.org/obo/MONDO_0013779>	"Wiskott-Aldrich syndrome 2"	1
<http://purl.obolibrary.org/obo/MONDO_0016734>	"anaplastic ganglioglioma"	1
<http://purl.obolibrary.org/obo/MONDO_0001145>	"total third-nerve palsy"	1
<http://purl.obolibrary.org/obo/MONDO_0003066>	"submandibular adenitis"	3
<http://purl.obolibrary.org/obo/MONDO_0017652>	"rare disease with myoclonus as a major feature"	2
<http://purl.obolibrary.org/obo/MONDO_0014987>	"Fanconi anemia complementation group U"	1
<http://purl.obolibrary.org/obo/MONDO_0012594>	"complement factor I deficiency"	2
<http://purl.obolibrary.org/obo/MONDO_0007678>	"glycoprotein, renal"	1
<http://purl.obolibrary.org/obo/MONDO_0015574>	"chronic cutaneous lupus erythematosus"	1
<http://purl.obolibrary.org/obo/MONDO_0001871>	"acute diffuse glomerulonephritis"	2
<http://purl.obolibrary.org/obo/MONDO_0007303>	"cervical rib"	2
<http://purl.obolibrary.org/obo/MONDO_0010922>	"Satoyoshi syndrome"	9
<http://purl.obolibrary.org/obo/MONDO_0013070>	"spermatogenic failure 7"	2
<http://purl.obolibrary.org/obo/MONDO_0008711>	"Goodman syndrome"	2
<http://purl.obolibrary.org/obo/MONDO_0019469>	"T-cell large granular lymphocyte leukemia"	5
<http://purl.obolibrary.org/obo/MONDO_0015871>	"benign breast phyllodes tumor"	3
<http://purl.obolibrary.org/obo/MONDO_0043116>	"iida kannari syndrome"	4
<http://purl.obolibrary.org/obo/MONDO_0007866>	"Bart-Pumphrey syndrome"	2
<http://purl.obolibrary.org/obo/MONDO_0019980>	"renal hypoplasia, bilateral"	1
<http://purl.obolibrary.org/obo/MONDO_0005312>	"pouchitis"	1
<http://purl.obolibrary.org/obo/MONDO_0001808>	"chronic subinvolution of uterus"	1
<http://purl.obolibrary.org/obo/MONDO_0007353>	"coloboma of macula-brachydactyly type B syndrome"	1
<http://purl.obolibrary.org/obo/MONDO_0054743>	"polycystic liver disease 3 with or without kidney cysts"	1
<http://purl.obolibrary.org/obo/MONDO_0008941>	"hepatic fibrosis-renal cysts-intellectual disability syndrome"	4
<http://purl.obolibrary.org/obo/MONDO_0017295>	"glycerol kinase deficiency, juvenile form"	1
<http://purl.obolibrary.org/obo/MONDO_0016560>	"ptosis-syndactyly-learning difficulties syndrome"	3
<http://purl.obolibrary.org/obo/MONDO_0004553>	"extrinsic allergic alveolitis"	3
<http://purl.obolibrary.org/obo/MONDO_0005853>	"malignant mixed neoplasm"	2
<http://purl.obolibrary.org/obo/MONDO_0017845>	"spastic ataxia"	1
<http://purl.obolibrary.org/obo/MONDO_0008073>	"familial juvenile hyperuricemic nephropathy type 1"	3
<http://purl.obolibrary.org/obo/MONDO_0016331>	"infantile systemic hyalinosis"	2
